Town,State/Province,County,Count,Latitude,Longitude
Hallettsville,TX,LAVACA,20,29.4,-97.0
Hamilton,TX,HAMILTON,12,31.7,-98.1
Hammond,IN,LAKE,108,41.6,-87.5
Hampstead,NC,PENDER,2,34.4,-77.7
Hampton,NJ,HUNTERDON,3,40.7,-74.9
Hampton,VA,HAMPTON CITY,4,37.0,-76.3
Hampton,VA,YORK,4,37.0,-76.3
Hancock,NH,HILLSBOROUGH,1,43.0,-72.0
Hanksville,UT,WAYNE,1,38.4,-110.3
Harbor Springs,MI,EMMET,8,45.6,-85.0
Harriman,TN,ROANE,6,35.9,-84.5
Harrisburg,PA,DAUPHIN,108,40.3,-76.9
Harrisonburg,VA,HARRISONBURG CITY,4,38.4,-78.9
Harrisville,NH,CHESHIRE,2,42.9,-72.1
Hartford,CT,HARTFORD,63,41.8,-72.7
Hartford,WI,WASHINGTON,4,43.3,-88.4
Hartland,VT,WINDSOR,2,43.5,-72.4
Hartwell,GA,HART,1,34.4,-82.9
Hayward,CA,ALAMEDA,4,37.6,-122.1
Hazel Park,MI,OAKLAND,2,42.5,-83.1
Hebron,NE,THAYER,12,40.2,-97.6
Helen,GA,WHITE,3,34.7,-83.7
Helena,AL,SHELBY,1,33.3,-86.8
Henderson,KY,HENDERSON,3,37.9,-87.6
Hendersonville,NC,HENDERSON,9,35.4,-82.3
Hennessey,OK,KINGFISHER,4,36.1,-97.9
Henrietta,NY,MONROE,1,43.0,-77.6
Hermosa Beach,CA,LOS ANGELES,3,33.9,-118.4
Herndon,VA,FAIRFAX,18,39.0,-77.4
Herscher,IL,KANKAKEE,1,41.0,-88.1
Hesperia,MI,OCEANA,2,43.5,-86.1
Hesston,KS,HARVEY,1,38.1,-97.4
Hewitt,TX,MCLENNAN,1,31.4,-97.2
Hickory,NC,CATAWBA,9,35.6,-81.3
High Point,NC,GUILFORD,40,36.0,-80.0
Highland,IN,LAKE,4,41.5,-87.5
Highland,MI,OAKLAND,2,44.2,-85.3
Highlands,NJ,MONMOUTH,12,40.4,-74.0
Highlands,TX,HARRIS,1,29.8,-95.1
Hillsboro,MO,JEFFERSON,15,38.2,-90.6
Hillsboro,TN,COFFEE,1,35.4,-86.0
Hillsborough,NC,ORANGE,6,36.1,-79.1
Hillsdale,IN,VERMILLION,3,38.1,-87.5
Hinesville,GA,LIBERTY,3,31.9,-81.6
Hinsdale,IL,DUPAGE,4,41.8,-87.9
Hinton,OK,CADDO,2,35.4,-98.3
Hitchcock,OK,BLAINE,4,36.0,-98.3
Hockessin,DE,NEW CASTLE,1,39.8,-75.7
Holland,MI,OTTAWA,38,42.8,-86.2
Holland Patent,NY,ONEIDA,10,43.3,-75.3
Hollister,MO,TANEY,2,36.5,-93.2
Holly Springs,MS,MARSHALL,4,34.8,-89.4
Holly Springs,NC,WAKE,6,35.6,-78.9
Hollywood,FL,BROWARD,10,26.0,-80.1
Honea Path,SC,ANDERSON,4,34.5,-82.4
Honeoye Falls,NY,MONROE,6,43.0,-77.6
Horseshoe Bay,TX,LLANO,40,30.5,-98.4
Houston,TX,FORT BEND,33,29.8,-95.4
Houston,TX,HARRIS,1419,29.8,-95.4
Howe,OK,LE FLORE,10,35.0,-94.6
Hubbard Lake,MI,ALPENA,2,44.9,-83.6
Hudson,WI,SAINT CROIX,4,45.0,-92.7
Hudson Falls,NY,WASHINGTON,12,43.3,-73.6
Humboldt,KS,ALLEN,2,37.8,-95.4
Huntersville,NC,MECKLENBURG,4,35.4,-80.8
Huntsville,AL,MADISON,9,34.7,-86.6
Huron,SD,BEADLE,14,44.4,-98.2
Hurst,TX,TARRANT,5,32.8,-97.2
Hutto,TX,WILLIAMSON,124,30.5,-97.6
Independence,CA,INYO,2,36.9,-118.2
Indian Lake,NY,HAMILTON,4,43.9,-74.4
Indianapolis,IN,HAMILTON,2,39.7,-86.1
Indianapolis,IN,MARION,52,39.7,-86.1
Indianola,IA,WARREN,40,41.4,-93.6
Ingleside,TX,SAN PATRICIO,10,27.9,-97.2
Inlet,NY,HAMILTON,1,43.8,-74.8
Iowa City,IA,JOHNSON,9,41.7,-91.5
Ipswich,MA,ESSEX,2,42.7,-70.8
Irons,MI,LAKE,2,44.1,-86.0
Itasca,IL,DUPAGE,4,42.0,-88.0
Ithaca,NY,TOMPKINS,3,42.4,-76.5
Jacksonville,FL,DUVAL,176,30.2,-81.6
Jacksonville,FL,SAINT JOHNS,32,30.2,-81.6
Jacksonville,NC,ONSLOW,34,34.6,-77.3
Jamestown,NY,CHAUTAUQUA,4,42.1,-79.2
Jamestown,VA,JAMES CITY,10,37.2,-76.8
Jefferson City,MO,COLE,60,38.6,-92.2
Jenks,OK,TULSA,4,36.0,-96.0
Jericho,VT,CHITTENDEN,28,44.5,-73.0
Johns Island,SC,CHARLESTON,12,32.6,-80.2
Joplin,MO,JASPER,66,37.0,-94.5
Junction,TX,KIMBLE,34,30.5,-99.8
Juntura,OR,MALHEUR,3,43.8,-117.9
Kalamazoo,MI,KALAMAZOO,10,42.3,-85.6
Karnack,TX,HARRISON,8,32.7,-94.2
Katy,TX,FORT BEND,6,29.7,-95.9
Katy,TX,HARRIS,6,29.7,-95.9
Kaysville,UT,DAVIS,3,41.0,-111.9
Keller,TX,TARRANT,33,32.9,-97.2
Kenner,LA,JEFFERSON,3,30.0,-90.3
Kennesaw,GA,COBB,8,34.1,-84.6
Kenosha,WI,KENOSHA,2,42.6,-87.9
Kerrville,TX,KERR,20,30.1,-99.1
Key Biscayne,FL,MIAMI-DADE,2,25.7,-80.2
Key West,FL,MONROE,231,24.5,-81.8
Keyport,NJ,MONMOUTH,4,40.4,-74.2
Killeen,TX,BELL,60,31.1,-97.7
King City,CA,MONTEREY,2,36.2,-121.1
Kingsville,TX,KLEBERG,5,27.5,-97.9
Kinsman,OH,TRUMBULL,2,41.5,-80.6
Kitty Hawk,NC,DARE,5,36.1,-75.7
Knoxville,TN,KNOX,85,35.9,-84.1
Krum,TX,DENTON,35,33.2,-97.3
La Mesa,CA,SAN DIEGO,2,32.8,-117.0
La Porte,IN,LA PORTE,14,41.6,-86.7
La Porte,TX,HARRIS,5,29.7,-95.0
La Quinta,CA,RIVERSIDE,3,33.7,-116.3
Ladoga,IN,MONTGOMERY,1,39.9,-86.7
Lady Lake,FL,LAKE,2,28.9,-81.9
Lafayette,LA,LAFAYETTE,3,30.2,-92.1
Laguna Niguel,CA,ORANGE,2,33.6,-117.7
Lake Forest,IL,LAKE,4,42.2,-87.8
Lake George,NY,WARREN,10,43.4,-73.7
Lake Havasu City,AZ,MOHAVE,9,34.5,-114.4
Lake Jackson,TX,BRAZORIA,2,29.1,-95.4
Lake Lure,NC,RUTHERFORD,4,35.4,-82.2
Lake Park,MN,BECKER,1,46.7,-96.1
Lakeville,MN,DAKOTA,36,44.7,-93.3
Lakewood,OH,CUYAHOGA,6,41.5,-81.8
Lampasas,TX,LAMPASAS,5,31.1,-98.2
Lancaster,PA,LANCASTER,84,40.0,-76.3
Landisburg,PA,PERRY,4,40.3,-77.3
Lansing,MI,CLINTON,1,42.7,-84.6
Lansing,MI,EATON,1,42.7,-84.6
Lansing,MI,INGHAM,11,42.7,-84.6
Larkspur,CO,DOUGLAS,3,39.2,-104.8
Las Cruces,NM,DONA ANA,6,32.3,-106.8
Las Vegas,NV,CLARK,26,36.2,-115.3
Latham,NY,ALBANY,3,42.7,-73.8
Lawrenceburg,IN,DEARBORN,4,39.2,-84.8
Lawrenceville,GA,GWINNETT,1,34.0,-83.9
Le Roy,NY,GENESEE,2,43.0,-78.0
League City,TX,GALVESTON,2,29.5,-95.1
Leander,TX,TRAVIS,16,30.6,-97.8
Leander,TX,WILLIAMSON,12,30.6,-97.8
Leawood,KS,JOHNSON,7,38.9,-94.6
Lebanon,OH,WARREN,8,39.4,-84.2
Lebanon,PA,LEBANON,66,40.3,-76.4
Leesburg,VA,LOUDOUN,9,39.1,-77.5
Leicester,NC,BUNCOMBE,1,35.7,-82.7
Lenexa,KS,JOHNSON,114,38.9,-94.7
Lenhartsville,PA,BERKS,4,40.6,-75.9
Leonia,NJ,BERGEN,3,40.9,-74.0
Lewes,DE,SUSSEX,8,38.7,-75.1
Lewis Center,OH,DELAWARE,1,40.2,-83.0
Lewisburg,WV,GREENBRIER,19,37.8,-80.4
Lexington,KY,FAYETTE,49,38.0,-84.5
Lexington,MI,SANILAC,1,43.3,-82.5
Lexington,NC,DAVIDSON,21,35.7,-80.3
Lexington,OK,CLEVELAND,3,35.0,-97.3
Liberty,TX,LIBERTY,4,30.0,-94.8
Liberty Hill,TX,WILLIAMSON,1,30.7,-97.9
Lillian,AL,BALDWIN,1,30.4,-87.5
Lincoln,AL,TALLADEGA,1,33.6,-86.2
Lincoln,MA,MIDDLESEX,24,42.4,-71.3
Lincoln,NE,LANCASTER,84,40.8,-96.7
Lindale,TX,SMITH,8,32.5,-95.4
Litchfield Park,AZ,MARICOPA,18,33.5,-112.5
Little Falls,NJ,PASSAIC,6,40.9,-74.2
Livingston,LA,LIVINGSTON,1,30.5,-90.7
Livingston,TX,POLK,5,30.7,-94.6
Livonia,MI,WAYNE,1,42.4,-83.4
Llano,TX,LLANO,2,30.8,-98.7
Lock Haven,PA,CLINTON,500,41.2,-77.4
Locust Grove,OK,MAYES,10,36.2,-95.2
Loda,IL,IROQUOIS,8,40.5,-88.1
Logan,OH,HOCKING,1,39.5,-82.4
Lombard,IL,DUPAGE,36,41.9,-88.0
London,TX,KIMBLE,27,30.7,-99.7
Long Beach,CA,LOS ANGELES,20,33.8,-118.1
Long Lake,NY,HAMILTON,3,43.9,-74.4
Longs,SC,HORRY,2,33.9,-78.7
Longview,TX,GREGG,18,32.6,-94.7
Los Angeles,CA,LOS ANGELES,475,34.1,-118.3
Lothian,MD,ANNE ARUNDEL,1,38.8,-76.7
Loudon,TN,LOUDON,1,35.7,-84.3
Louisa,VA,LOUISA,1,38.0,-78.2
Louisville,KY,JEFFERSON,1364,38.1,-85.7
Loveland,CO,LARIMER,2,40.4,-105.2
Lowell,IN,LAKE,30,41.3,-87.4
Lowell,MA,MIDDLESEX,1,42.6,-71.3
Loxahatchee,FL,PALM BEACH,18,26.7,-80.3
Ludington,MI,MASON,1,44.0,-86.5
Ludlow,MA,HAMPDEN,1,42.2,-72.4
Lufkin,TX,ANGELINA,1,31.3,-94.8
Lunenburg,MA,WORCESTER,1,42.6,-71.7
Lusby,MD,CALVERT,39,38.4,-76.5
Lyman,NE,SCOTTS BLUFF,1,41.9,-104.0
Lyndon,VT,CALEDONIA,2,44.5,-72.0
Mabel,MN,FILLMORE,3,43.5,-91.9
Macks Creek,MO,CAMDEN,2,38.0,-93.0
Macon,GA,BIBB,10,32.9,-83.8
Madison,CT,NEW HAVEN,13,41.3,-72.6
Madison,MS,MADISON,2,32.5,-90.1
Madison,WI,DANE,160,43.1,-89.4
Madisonville,KY,HOPKINS,1,37.4,-87.4
Magnolia,TX,MONTGOMERY,5,30.2,-95.8
Maineville,OH,WARREN,5,39.3,-84.3
Mamaroneck,NY,WESTCHESTER,1,40.9,-73.7
Manistee,MI,MANISTEE,4,44.2,-86.4
Manor,TX,TRAVIS,8,30.3,-97.6
Mansfield,OH,RICHLAND,80,40.8,-82.4
Mansfield,TX,TARRANT,33,32.6,-97.1
Manton,MI,WEXFORD,9,44.4,-85.5
Maple Lake,MN,WRIGHT,2,45.2,-94.0
Marathon,FL,MONROE,36,24.8,-81.0
Marathon,NY,CORTLAND,8,42.4,-76.0
Marble Falls,TX,BURNET,105,30.6,-98.2
Margaretville,NY,DELAWARE,3,42.2,-74.7
Marietta,GA,COBB,21,34.0,-84.4
Marinette,WI,MARINETTE,14,45.1,-87.6
Marion,NC,MCDOWELL,15,35.8,-82.0
Marshall,OK,LOGAN,2,36.1,-97.7
Martindale,TX,CALDWELL,2,29.8,-97.8
Martinez,CA,CONTRA COSTA,3,38.0,-122.1
Martinsville,VA,MARTINSVILLE CITY,1,36.7,-80.0
Maryville,TN,BLOUNT,6,35.8,-83.9
Mason,TX,MASON,50,30.8,-99.2
Mason City,IL,MASON,9,40.2,-89.6
Massapequa Park,NY,NASSAU,6,40.7,-73.5
Matagorda,TX,MATAGORDA,125,28.6,-96.0
Mauldin,SC,GREENVILLE,2,34.8,-82.3
Mechanicsville,VA,HANOVER,2,37.6,-77.4
Media,PA,DELAWARE,180,39.9,-75.4
Medina,NY,ORLEANS,2,43.2,-78.4
Medina,OH,MEDINA,2,41.2,-81.8
Melbourne,FL,BREVARD,77,28.2,-80.6
Melrose,MA,MIDDLESEX,7,42.5,-71.1
Memphis,TN,SHELBY,126,35.1,-90.0
Menard,TX,MENARD,45,30.9,-99.8
Mentor,OH,LAKE,5,41.8,-81.3
Merrick,NY,NASSAU,33,40.7,-73.6
Merrillville,IN,LAKE,8,41.5,-87.3
Mesa,AZ,MARICOPA,6,33.4,-111.7
Mesick,MI,WEXFORD,1,44.4,-85.8
Mesilla,NM,DONA ANA,1,32.3,-106.8
Mesquite,TX,DALLAS,26,32.8,-96.6
Metairie,LA,JEFFERSON,32,30.0,-90.3
Miami,FL,MIAMI-DADE,612,25.8,-80.3
Miami,OK,OTTAWA,6,36.9,-94.8
Michigan City,IN,LA PORTE,20,41.6,-86.9
Middle Island,NY,SUFFOLK,1,40.9,-72.9
Middleburg,FL,CLAY,1,30.1,-81.8
Middleton,MA,ESSEX,4,42.6,-71.0
Middleton,WI,DANE,22,43.1,-89.5
Middletown,MD,FREDERICK,3,39.4,-77.6
Midland,MI,MIDLAND,5,43.7,-84.3
Midland,TX,MIDLAND,2,32.0,-102.0
Midlothian,VA,CHESTERFIELD,4,37.5,-77.7
Milford,CT,NEW HAVEN,24,41.2,-73.1
Milford,KS,GEARY,16,39.1,-96.9
Mill Valley,CA,MARIN,20,37.9,-122.5
Miller,MO,LAWRENCE,3,37.2,-93.8
Millfield,OH,ATHENS,2,39.4,-82.1
Millsboro,DE,SUSSEX,10,38.6,-75.3
Millstadt,IL,SAINT CLAIR,2,38.5,-90.1
Milwaukee,WI,MILWAUKEE,87,43.0,-87.9
Mindenmines,MO,BARTON,15,37.4,-94.6
Mineral Bluff,GA,FANNIN,13,35.0,-84.3
Minneapolis,MN,ANOKA,348,44.9,-93.3
Minneapolis,MN,HENNEPIN,899,44.9,-93.3
Minnetonka,MN,HENNEPIN,6,44.9,-93.5
Mission,TX,HIDALGO,156,26.2,-98.3
Missouri City,TX,FORT BEND,27,29.6,-95.6
Mobile,AL,MOBILE,15,30.7,-88.0
Modesto,CA,STANISLAUS,4,37.7,-121.0
Monmouth Beach,NJ,MONMOUTH,4,40.3,-74.0
Monroe,CT,FAIRFIELD,3,41.3,-73.2
Monroe,MI,MONROE,8,41.9,-83.3
Monroe,NY,ORANGE,3,41.3,-74.2
Monroeville,PA,ALLEGHENY,1,40.4,-79.7
Mont Belvieu,TX,CHAMBERS,2,29.8,-94.8
Montevallo,AL,SHELBY,4,33.1,-86.9
Montgomery,PA,LYCOMING,2,41.2,-76.9
Montgomery,TX,MONTGOMERY,15,30.4,-95.8
Monticello,KY,WAYNE,75,36.9,-84.8
Montpelier,VT,WASHINGTON,26,44.3,-72.6
Moody,AL,SAINT CLAIR,6,33.6,-86.5
Mooreland,OK,WOODWARD,3,36.4,-99.2
Mooresville,IN,MORGAN,7,39.6,-86.4
Mooresville,NC,IREDELL,16,35.6,-80.9
Morgan City,LA,SAINT MARY,10,29.7,-91.2
Morganton,NC,BURKE,33,35.8,-81.7
Morgantown,WV,MONONGALIA,56,39.6,-79.9
Morrisville,PA,BUCKS,3,40.2,-74.8
Morro Bay,CA,SAN LUIS OBISPO,17,35.4,-120.8
Morrow,OH,WARREN,1,39.3,-84.1
Moscow Mills,MO,LINCOLN,4,38.9,-90.9
Mounds,OK,CREEK,17,35.9,-96.1
Mountain View,CA,SANTA CLARA,120,37.4,-122.1
Mulvane,KS,SEDGWICK,1,37.5,-97.2
Muncy,PA,LYCOMING,40,41.2,-76.8
Munster,IN,LAKE,8,41.6,-87.5
Murfreesboro,TN,RUTHERFORD,25,35.9,-86.4
Murrells Inlet,SC,HORRY,92,33.6,-79.1
Muskegon,MI,MUSKEGON,16,43.2,-86.3
Muskogee,OK,MUSKOGEE,10,35.8,-95.4
Nahant,MA,ESSEX,2,42.4,-70.9
Napa,CA,NAPA,6,38.3,-122.3
Naperville,IL,DUPAGE,1,41.8,-88.2
Naperville,IL,WILL,1,41.8,-88.2
Naples,FL,COLLIER,8,26.2,-81.7
Naranjito,PR,NARANJITO,2,18.3,-66.3
Nashville,IN,BROWN,22,39.2,-86.2
Nashville,NC,NASH,2,36.0,-78.1
Nashville,TN,DAVIDSON,22,36.2,-86.8
Navarre,FL,SANTA ROSA,6,30.4,-86.9
Needville,TX,FORT BEND,3,29.4,-95.6
Neenah,WI,WINNEBAGO,1,44.2,-88.5
New Baltimore,MI,MACOMB,3,42.7,-82.7
New Bedford,MA,BRISTOL,4,41.6,-70.9
New Berlin,WI,WAUKESHA,8,43.0,-88.1
New Bern,NC,CRAVEN,2,35.0,-77.0
New Boston,TX,BOWIE,55,33.4,-94.5
New Braunfels,TX,COMAL,140,29.7,-98.2
New Caney,TX,MONTGOMERY,30,30.2,-95.2
New Cumberland,PA,CUMBERLAND,68,40.2,-76.9
New Glarus,WI,GREEN,1,42.8,-89.6
New Haven,MO,FRANKLIN,24,38.5,-91.2
New Iberia,LA,IBERIA,6,30.0,-91.8
New Lebanon,OH,MONTGOMERY,2,39.7,-84.4
New London,NH,MERRIMACK,2,43.4,-72.0
New Market,TN,JEFFERSON,13,36.1,-83.6
New Melle,MO,SAINT CHARLES,2,38.7,-90.9
New Orleans,LA,JEFFERSON,156,30.0,-90.1
New Orleans,LA,ORLEANS,624,30.0,-90.1
New Richmond,WI,SAINT CROIX,8,45.1,-92.6
New Ringgold,PA,SCHUYLKILL,280,40.6,-76.0
New River,AZ,MARICOPA,4,33.9,-112.1
New York,NY,NEW YORK,992,40.7,-74.0
Newark,DE,NEW CASTLE,5,39.8,-75.7
Newburgh,IN,WARRICK,132,37.9,-87.4
Newbury,VT,ORANGE,2,44.1,-72.1
Newton,NJ,SUSSEX,4,41.1,-74.8
Newtown,CT,FAIRFIELD,1,41.4,-73.3
Newville,PA,CUMBERLAND,15,40.2,-77.4
Nichols,NY,TIOGA,4,42.1,-76.3
Nichols,WI,OUTAGAMIE,1,44.5,-88.4
Niles,MI,BERRIEN,1,41.8,-86.2
Nixa,MO,CHRISTIAN,7,37.0,-93.3
Noble,OK,CLEVELAND,20,35.1,-97.4
Noblesville,IN,HAMILTON,3,40.0,-85.9
Nolensville,TN,WILLIAMSON,1,36.0,-86.7
Norman,OK,CLEVELAND,306,35.3,-97.5
North Augusta,SC,AIKEN,12,33.7,-82.0
North Canton,OH,STARK,150,40.9,-81.4
North East,MD,CECIL,10,39.6,-75.9
North Fort Myers,FL,LEE,8,26.7,-81.9
North Hampton,NH,ROCKINGHAM,3,43.0,-70.8
North Haven,CT,NEW HAVEN,2,41.4,-72.9
North Myrtle Beach,SC,HORRY,55,33.8,-78.7
North Ridgeville,OH,LORAIN,3,41.4,-82.1
North San Juan,CA,NEVADA,4,39.4,-121.1
North Stonington,CT,NEW LONDON,2,41.4,-71.9
Norwich,VT,WINDSOR,1,43.7,-72.3
Norwood,NC,STANLY,4,35.2,-80.1
Novi,MI,OAKLAND,2,42.5,-83.5
Oak Ridge,TN,ANDERSON,3,36.0,-84.2
Oakland,CA,ALAMEDA,54,37.8,-122.2
Oakwood,OH,PAULDING,12,39.7,-84.2
Odenton,MD,ANNE ARUNDEL,12,39.1,-76.7
Odessa,TX,ECTOR,12,31.9,-102.3
Ogden,UT,WEBER,116,41.3,-112.1
Ogunquit,ME,YORK,1,43.2,-70.6
Oilville,VA,GOOCHLAND,6,37.7,-77.8
Okeene,OK,BLAINE,6,36.0,-98.3
Oklahoma City,OK,CLEVELAND,486,35.5,-97.5
Oklahoma City,OK,OKLAHOMA,2754,35.5,-97.5
Olathe,KS,JOHNSON,9,38.9,-94.9
Old Fields,WV,HARDY,1,39.1,-79.0
Old Fort,NC,MCDOWELL,22,35.6,-82.2
Old Lyme,CT,NEW LONDON,3,41.3,-72.3
Oldsmar,FL,PINELLAS,1,28.0,-82.7
Olive Branch,MS,DESOTO,10,34.9,-89.8
Omaha,NE,DOUGLAS,570,41.2,-96.2
Omaha,NE,SARPY,120,41.2,-96.2
Oneonta,NY,OTSEGO,5,42.5,-75.1
Ooltewah,TN,HAMILTON,8,35.1,-85.1
Orange,CA,ORANGE,2,33.8,-117.9
Orange,TX,ORANGE,6,30.1,-93.9
Orange Beach,AL,BALDWIN,19,30.3,-87.6
Orange Park,FL,CLAY,4,30.1,-81.7
Orangeburg,SC,ORANGEBURG,5,33.5,-80.9
Osage Beach,MO,CAMDEN,6,38.1,-92.7
Osceola,WI,POLK,3,45.3,-92.6
Ossipee,NH,CARROLL,1,43.7,-71.1
Oswego,IL,KENDALL,3,41.7,-88.4
Ottawa Lake,MI,MONROE,8,41.8,-83.7
Overland Park,KS,JOHNSON,108,39.0,-94.7
Owasso,OK,TULSA,42,36.3,-95.9
Oxford,MS,LAFAYETTE,9,34.3,-89.5
Oxford,OH,BUTLER,18,39.5,-84.8
Ozark,AR,FRANKLIN,28,35.4,-93.8
Ozark,MO,CHRISTIAN,32,37.1,-93.2
Pacific,MO,FRANKLIN,12,38.4,-90.7
Paducah,KY,MCCRACKEN,24,37.1,-88.7
Painesville,OH,LAKE,4,41.7,-81.3
Palacios,TX,MATAGORDA,4,28.7,-96.1
Palm Bay,FL,BREVARD,8,28.0,-80.7
Palm Coast,FL,FLAGLER,3,29.6,-81.2
Palm Springs,CA,RIVERSIDE,48,33.8,-116.5
Panama City,FL,BAY,6,30.1,-85.6
Panama City Beach,FL,BAY,30,30.3,-86.0
Paoli,IN,ORANGE,7,38.6,-86.5
Paoli,PA,CHESTER,1,40.0,-75.5
Papillion,NE,SARPY,6,41.1,-96.0
Parker,CO,DOUGLAS,1,39.5,-104.7
Parker,KS,LINN,2,38.3,-95.0
Parkersburg,WV,WOOD,7,39.3,-81.5
Parrish,FL,MANATEE,8,27.6,-82.5
Pasco,WA,FRANKLIN,2,46.2,-119.2
Pass Christian,MS,HARRISON,268,30.3,-89.2
Patterson,LA,SAINT MARY,30,29.7,-91.3
Patuxent River,MD,SAINT MARYS,81,38.3,-76.4
Paw Paw,WV,MORGAN,2,39.5,-78.5
Payson,AZ,GILA,2,34.3,-111.3
Peabody,KS,MARION,5,38.2,-97.1
Pearland,TX,BRAZORIA,21,29.5,-95.4
Pekin,IL,TAZEWELL,20,40.6,-89.6
Pennock,MN,KANDIYOHI,2,45.2,-95.2
Pensacola,FL,ESCAMBIA,27,30.4,-87.2
Pentwater,MI,OCEANA,80,43.8,-86.4
Peoria,AZ,MARICOPA,1,33.7,-112.3
Peotone,IL,WILL,1,41.3,-87.8
Perry,GA,HOUSTON,18,32.4,-83.6
Peru,NY,CLINTON,2,44.6,-73.6
Petaluma,CA,SONOMA,5,38.2,-122.7
Petoskey,MI,EMMET,12,45.3,-85.0
Pflugerville,TX,TRAVIS,4,30.5,-97.6
Philadelphia,PA,DELAWARE,12,40.0,-75.0
Philadelphia,PA,PHILADELPHIA,192,40.0,-75.0
Phillipsburg,NJ,WARREN,5,40.7,-75.2
Phoenix,AZ,MARICOPA,155,33.5,-112.0
Phoenixville,PA,CHESTER,1,40.2,-75.6
Pickens,SC,PICKENS,12,35.0,-82.6
Piedmont,CA,ALAMEDA,2,37.8,-122.2
Pigeon,MI,HURON,6,43.9,-83.2
Pigeon Forge,TN,SEVIER,2,35.8,-83.6
Pikesville,MD,BALTIMORE,6,39.4,-76.8
Pilot Point,TX,DENTON,9,33.3,-96.9
Pinole,CA,CONTRA COSTA,1,38.0,-122.3
Piqua,OH,MIAMI,2,40.1,-84.2
Piscataway,NJ,MIDDLESEX,1,40.5,-74.5
Pittsburg,KS,CRAWFORD,48,37.4,-94.7
Pittsburgh,PA,ALLEGHENY,255,40.4,-79.9
Plainfield,IL,WILL,7,41.7,-88.2
Plainfield,IN,HENDRICKS,3,39.7,-86.4
Plainview,TX,HALE,13,34.2,-101.7
Plainville,CT,HARTFORD,1,41.7,-72.9
Plano,TX,COLLIN,273,33.0,-96.7
Platteville,CO,WELD,1,40.2,-104.8
Plattsburg,MO,CLINTON,5,39.6,-94.4
Plover,WI,PORTAGE,3,44.5,-89.5
Plymouth,MI,WAYNE,1,42.4,-83.5
Point Clear,AL,BALDWIN,180,30.5,-87.9
Pollok,TX,ANGELINA,3,31.4,-94.9
Pompano Beach,FL,BROWARD,13,26.2,-80.1
Ponca City,OK,KAY,50,36.7,-97.1
Poplar Bluff,MO,BUTLER,2,36.8,-90.4
Port Charlotte,FL,CHARLOTTE,3,27.0,-82.1
Port Lavaca,TX,CALHOUN,70,28.5,-96.4
Portage,WI,COLUMBIA,14,43.5,-89.5
Portales,NM,ROOSEVELT,6,34.2,-103.3
Portland,ME,CUMBERLAND,11,43.7,-70.3
Portland,OR,CLACKAMAS,12,45.5,-122.7
Portland,OR,MULTNOMAH,16,45.5,-122.7
Portland,OR,WASHINGTON,16,45.5,-122.7
Portsmouth,VA,PORTSMOUTH CITY,28,36.8,-76.4
Pottersville,NY,WARREN,1,43.7,-73.8
Powell,OH,DELAWARE,2,40.2,-83.1
Powell,TN,KNOX,1,36.1,-84.0
Powhatan,VA,POWHATAN,8,37.5,-77.8
Prairie Du Sac,WI,SAUK,12,43.3,-89.7
Prairie Village,KS,JOHNSON,14,39.0,-94.6
Prairieville,LA,ASCENSION,30,30.3,-91.0
Prescott,AZ,YAVAPAI,3,34.7,-112.6
Prescott,WI,PIERCE,2,44.8,-92.8
Prescott Valley,AZ,YAVAPAI,2,34.6,-112.2
Prospect,KY,JEFFERSON,4,38.3,-85.6
Prosper,TX,COLLIN,17,33.2,-96.8
Prosperity,SC,NEWBERRY,8,34.1,-81.5
Providence,RI,PROVIDENCE,10,41.8,-71.4
Provincetown,MA,BARNSTABLE,1,42.0,-70.1
Queen Creek,AZ,MARICOPA,5,33.2,-111.6
Quincy,MA,NORFOLK,24,42.3,-71.0
Raeford,NC,HOKE,1,35.0,-79.4
Raleigh,NC,WAKE,48,35.8,-78.7
Ramona,CA,SAN DIEGO,108,33.0,-116.8
Reading,PA,BERKS,40,40.3,-76.0
Red Oak,TX,ELLIS,1400,32.5,-96.9
Redlands,CA,SAN BERNARDINO,15,34.0,-117.2
Republic,MO,GREENE,2,37.1,-93.5
Reston,VA,FAIRFAX,24,38.9,-77.3
Rice,TX,NAVARRO,9,32.2,-96.5
Richardson,TX,DALLAS,4,33.0,-96.7
Richland,WA,BENTON,3,46.3,-119.3
Richmond,CA,CONTRA COSTA,12,37.9,-122.3
Richmond,IN,WAYNE,12,39.8,-84.9
Richmond,KY,MADISON,1,37.8,-84.3
Richmond,MI,MACOMB,4,42.8,-82.8
Richmond,VA,CHESTERFIELD,98,37.6,-77.5
Richmond,VA,HENRICO,98,37.6,-77.5
Richmond,VA,RICHMOND CITY,434,37.6,-77.5
Richmond Hill,GA,BRYAN,2,31.8,-81.2
Richwood,OH,UNION,2,40.4,-83.3
Ridgefield,CT,FAIRFIELD,28,41.3,-73.5
Ridgeland,MS,MADISON,1,32.4,-90.1
Ridgway,CO,OURAY,1,38.2,-107.8
Ringwood,NJ,PASSAIC,5,41.1,-74.3
Rio Rancho,NM,SANDOVAL,4,35.4,-106.7
Rio Rico,AZ,SANTA CRUZ,2,31.5,-111.1
River Forest,IL,COOK,1,41.9,-87.8
Riverview,MI,WAYNE,120,42.2,-83.2
Roanoke,VA,BOTETOURT,20,37.3,-80.0
Roanoke,VA,ROANOKE,60,37.3,-80.0
