Town,State/Province,County,Count,Latitude,Longitude
Denver,CO,DENVER,54,39.7,-105.0
Denver,CO,JEFFERSON,10,39.7,-105.0
Denver,IA,BREMER,3,42.7,-92.3
Denver,NY,DELAWARE,4,42.2,-74.6
Derby,KS,SEDGWICK,2,37.6,-97.2
Derry,NH,ROCKINGHAM,2,42.9,-71.3
Des Moines,IA,POLK,112,41.6,-93.7
Destin,FL,OKALOOSA,9,30.4,-86.4
Detroit,MI,WAYNE,32,42.3,-83.1
Dodge Center,MN,DODGE,34,44.0,-92.9
Dodgeville,WI,IOWA,38,43.0,-90.1
Dover,DE,KENT,16,39.2,-75.5
Drexel Hill,PA,DELAWARE,10,39.9,-75.3
Driftwood,TX,HAYS,16,30.1,-98.0
Dripping Springs,TX,HAYS,8,30.3,-98.1
Dryden,MI,LAPEER,3,42.9,-83.1
Dublin,OH,FRANKLIN,2,40.1,-83.1
Dublin,TX,ERATH,4,32.1,-98.4
Dunbarton,NH,MERRIMACK,1,43.2,-71.7
Dundalk,MD,BALTIMORE,3,39.3,-76.5
Durham,CT,MIDDLESEX,1,41.5,-72.7
Durham,NC,DURHAM,90,36.0,-78.9
East Amherst,NY,ERIE,8,43.0,-78.7
East Greenbush,NY,RENSSELAER,2,42.6,-73.7
East Lansing,MI,INGHAM,2,42.7,-84.5
East Lyme,CT,NEW LONDON,8,41.3,-72.2
East Smithfield,PA,BRADFORD,2,41.9,-76.6
Easthampton,MA,HAMPSHIRE,5,42.3,-72.7
Eastland,TX,EASTLAND,2,32.4,-98.7
Easton,MA,BRISTOL,1,42.1,-71.1
Eastpoint,FL,FRANKLIN,60,29.7,-84.9
Eau Claire,WI,EAU CLAIRE,12,44.8,-91.6
Eden Prairie,MN,HENNEPIN,1,44.9,-93.5
Edgewater,MD,ANNE ARUNDEL,3,38.9,-76.5
Edinburg,TX,HIDALGO,18,26.3,-98.2
Edmond,OK,OKLAHOMA,74,35.6,-97.5
Edwardsville,IL,MADISON,280,38.8,-90.0
El Reno,OK,CANADIAN,9,35.5,-98.0
El Segundo,CA,LOS ANGELES,29,33.9,-118.4
El Sobrante,CA,CONTRA COSTA,3,38.0,-122.3
Elizabeth,CO,ELBERT,2,39.2,-104.6
Elizabethton,TN,CARTER,7,36.3,-82.2
Elk Grove Village,IL,COOK,2,42.0,-88.0
Elkins,WV,RANDOLPH,2,38.9,-79.8
Ellendale,DE,SUSSEX,1,38.8,-75.4
Ellicott City,MD,HOWARD,35,39.3,-76.9
Ellijay,GA,GILMER,4,34.7,-84.3
Ellsworth,ME,HANCOCK,10,44.5,-68.4
Emerson,AR,COLUMBIA,1,33.1,-93.2
