City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI,Temp_Mean
Sugar Land,TX,fortbend,2018-03-16,29.6,-95.7,2018,3,16,Spring,1,,
New Smyrna Beach,FL,volusia,2018-03-16,29.0,-80.9,2018,3,16,Spring,8,71.0,57.958333
Montgomery,TX,montgomery,2018-03-16,30.4,-95.8,2018,3,16,Spring,3,43.0,72.541667
Montgomery,TX,montgomery,2018-03-17,30.4,-95.8,2018,3,17,Spring,5,56.0,73.0
Caldwell,TX,burleson,2018-03-17,30.6,-96.5,2018,3,17,Spring,1,,
San Antonio,TX,comal,2018-03-17,29.4,-98.5,2018,3,17,Spring,3,,
San Antonio,TX,bexar,2018-03-17,29.4,-98.5,2018,3,17,Spring,32,60.0,73.64583333333333
Montgomery,TX,montgomery,2018-03-18,30.4,-95.8,2018,3,18,Spring,10,57.0,72.375
Austin,TX,williamson,2018-03-18,30.3,-97.8,2018,3,18,Spring,3,,
Needville,TX,fortbend,2018-03-18,29.4,-95.6,2018,3,18,Spring,24,,
Houston,TX,fortbend,2018-03-18,30.0,-95.6,2018,3,18,Spring,8,,
Houston,TX,fortbend,2018-03-18,29.8,-95.5,2018,3,18,Spring,2,,
Temple,TX,bell,2018-03-18,31.1,-97.4,2018,3,18,Spring,8,33.0,69.729167
Austin,TX,travis,2018-03-18,30.3,-97.8,2018,3,18,Spring,43,69.0,72.21212125
Austin,TX,hays,2018-03-18,30.3,-97.8,2018,3,18,Spring,1,,
La Porte,TX,harris,2018-03-18,29.7,-95.0,2018,3,18,Spring,10,72.0,74.49019629411765
Houston,TX,harris,2018-03-18,30.0,-95.6,2018,3,18,Spring,344,72.0,74.49019629411765
Portland,TX,sanpatricio,2018-03-18,27.9,-97.3,2018,3,18,Spring,1,,
Caldwell,TX,burleson,2018-03-18,30.6,-96.5,2018,3,18,Spring,2,,
Salado,TX,bell,2018-03-18,31.0,-97.5,2018,3,18,Spring,6,33.0,69.729167
San Antonio,TX,bexar,2018-03-18,29.4,-98.5,2018,3,18,Spring,128,64.0,72.9930555
San Antonio,TX,comal,2018-03-18,29.4,-98.5,2018,3,18,Spring,12,,
Beaumont,TX,jefferson,2018-03-18,30.0,-94.3,2018,3,18,Spring,35,70.0,74.1944445
Shreveport,LA,caddo,2018-03-18,32.4,-93.7,2018,3,18,Spring,27,54.0,
Houston,TX,harris,2018-03-18,29.8,-95.5,2018,3,18,Spring,86,72.0,74.49019629411765
League City,TX,galveston,2018-03-18,29.5,-95.2,2018,3,18,Spring,1,28.0,72.0
Corpus Christi,TX,nueces,2018-03-19,27.8,-97.4,2018,3,19,Spring,10,67.0,75.541667
Port Aransas,TX,nueces,2018-03-19,27.8,-97.1,2018,3,19,Spring,5,67.0,75.541667
Ocean Springs,MS,jackson,2018-03-19,30.4,-88.8,2018,3,19,Spring,70,57.0,71.7875
Dallas,TX,collin,2018-03-19,32.9,-96.9,2018,3,19,Spring,2,39.0,60.916666500000005
Beaumont,TX,jefferson,2018-03-19,30.0,-94.3,2018,3,19,Spring,28,64.0,74.8680555
Caldwell,TX,burleson,2018-03-19,30.6,-96.5,2018,3,19,Spring,5,,
Glendora,CA,losangeles,2018-03-19,34.1,-117.9,2018,3,19,Spring,1,58.0,59.101190499999994
Pensacola,FL,escambia,2018-03-19,30.4,-87.2,2018,3,19,Spring,36,28.0,
Huntsville,TX,walker,2018-03-19,30.8,-95.5,2018,3,19,Spring,5,,
Boerne,TX,kendall,2018-03-19,29.9,-98.6,2018,3,19,Spring,3,,
Port Lavaca,TX,calhoun,2018-03-19,28.6,-96.6,2018,3,19,Spring,20,,
Belton,TX,bell,2018-03-19,31.0,-97.5,2018,3,19,Spring,3,47.0,66.729167
Montgomery,TX,montgomery,2018-03-19,30.4,-95.8,2018,3,19,Spring,6,51.0,71.0
Dallas,TX,dallas,2018-03-19,32.9,-96.9,2018,3,19,Spring,23,40.0,63.091666599999996
Port Lavaca,TX,calhoun,2018-03-19,28.5,-96.4,2018,3,19,Spring,10,,
Corpus Christi,TX,nueces,2018-03-20,27.6,-97.2,2018,3,20,Spring,20,43.0,65.876941
Caldwell,TX,burleson,2018-03-20,30.6,-96.5,2018,3,20,Spring,5,,
Mary Esther,FL,okaloosa,2018-03-20,30.4,-86.7,2018,3,20,Spring,5,43.0,
Sugar Land,TX,fortbend,2018-03-20,29.6,-95.7,2018,3,20,Spring,4,,
Pitkin,LA,vernon,2018-03-20,31.0,-93.0,2018,3,20,Spring,4,,
Ocean Springs,MS,jackson,2018-03-20,30.4,-88.8,2018,3,20,Spring,50,44.0,64.004167
Galveston,TX,galveston,2018-03-20,29.3,-94.8,2018,3,20,Spring,7,47.0,63.791667
Eastpoint,FL,franklin,2018-03-20,29.8,-84.8,2018,3,20,Spring,8,,
Beaumont,TX,jefferson,2018-03-20,30.0,-94.3,2018,3,20,Spring,21,46.0,60.888889
Montgomery,TX,montgomery,2018-03-20,30.4,-95.8,2018,3,20,Spring,10,47.0,58.041667
Ocean Springs,MS,jackson,2018-03-21,30.4,-88.8,2018,3,21,Spring,30,50.0,59.579167
Beaumont,TX,jefferson,2018-03-21,30.0,-94.3,2018,3,21,Spring,28,56.0,60.65277783333334
Houston,TX,harris,2018-03-21,30.0,-95.6,2018,3,21,Spring,86,77.0,62.338235294117645
Spring,TX,montgomery,2018-03-21,30.0,-95.5,2018,3,21,Spring,6,49.0,58.833333
Alexandria,LA,rapides,2018-03-21,31.3,-92.5,2018,3,21,Spring,34,60.0,
Montgomery,TX,montgomery,2018-03-21,30.4,-95.8,2018,3,21,Spring,12,49.0,58.833333
Spring,TX,harris,2018-03-21,30.0,-95.5,2018,3,21,Spring,4,77.0,62.338235294117645
Canyon Lake,TX,comal,2018-03-21,29.8,-98.2,2018,3,21,Spring,4,,
San Antonio,TX,bexar,2018-03-21,29.6,-98.4,2018,3,21,Spring,32,71.0,62.479166666666664
San Antonio,TX,comal,2018-03-21,29.6,-98.4,2018,3,21,Spring,3,,
Houston,TX,fortbend,2018-03-21,30.0,-95.6,2018,3,21,Spring,2,,
Pensacola,FL,escambia,2018-03-21,30.4,-87.2,2018,3,21,Spring,9,44.0,
Corpus Christi,TX,nueces,2018-03-21,27.8,-97.4,2018,3,21,Spring,5,50.0,67.91477275
Saucier,MS,harrison,2018-03-22,30.6,-89.3,2018,3,22,Spring,5,39.0,56.783333
Montgomery,TX,montgomery,2018-03-22,30.4,-95.8,2018,3,22,Spring,15,84.0,61.5
Beaumont,TX,jefferson,2018-03-22,30.0,-94.3,2018,3,22,Spring,14,58.0,62.15972216666666
Houston,TX,fortbend,2018-03-22,30.0,-95.6,2018,3,22,Spring,2,,
Ocean Springs,MS,jackson,2018-03-22,30.4,-88.8,2018,3,22,Spring,30,45.0,57.670833
