Town,State/Province,County,Count,Latitude,Longitude,FIPS
bridgeport,MI,saginaw,2,43.3,-83.8,26145.0
bridgeview,IL,cook,3,41.7,-87.8,17031.0
bridgman,MI,berrien,1,41.9,-86.6,26021.0
brigantine,NJ,atlantic,24,39.4,-74.4,34001.0
bristol,CT,hartford,2,41.7,-72.9,9003.0
bristol,VA,bristol city,2,36.6,-82.2,51520.0
bristol,VA,washington,1,36.6,-82.2,51191.0
broken arrow,OK,tulsa,8,36.0,-95.8,40143.0
broken arrow,OK,wagoner,8,36.0,-95.8,40145.0
bronte,TX,coke,21,31.9,-100.3,48081.0
brookfield,WI,waukesha,4,43.1,-88.1,55133.0
brookhaven,MS,lincoln,15,31.6,-90.5,28085.0
brooklyn,NY,kings,738,40.7,-74.0,36047.0
brooks,MN,red lake,1,47.8,-96.0,27125.0
brookville,PA,jefferson,8,41.2,-79.0,42065.0
broomfield,CO,broomfield,3,39.9,-105.1,8014.0
broomfield,CO,jefferson,2,39.9,-105.1,8059.0
brooten,MN,stearns,10,45.5,-95.1,27145.0
brunswick,OH,medina,14,41.2,-81.8,39103.0
brush,CO,morgan,1,40.3,-103.6,8087.0
brushton,NY,franklin,8,44.8,-74.5,36033.0
buchanan,MI,berrien,18,41.8,-86.4,26021.0
budd lake,NJ,morris,10,40.9,-74.8,34027.0
buena park,CA,orange,1,33.8,-118.0,6059.0
buffalo,MN,wright,1,45.2,-93.8,27171.0
bulverde,TX,comal,13,29.8,-98.5,48091.0
burleson,TX,johnson,27,32.5,-97.3,48251.0
burlington,CT,hartford,14,41.8,-73.0,9003.0
burlington,NC,alamance,8,36.0,-79.5,37001.0
burlington,VT,chittenden,7,44.5,-73.2,50007.0
burnt hills,NY,saratoga,3,42.9,-73.9,36091.0
burrton,KS,harvey,1,38.0,-97.6,20079.0
byron,IL,ogle,2,42.1,-89.3,17141.0
byron,MN,olmsted,11,44.0,-92.6,27109.0
caddo mills,TX,hunt,4,33.1,-96.2,48231.0
cadiz,KY,trigg,70,36.8,-87.9,21221.0
cadyville,NY,clinton,1,44.7,-73.6,36019.0
calais,VT,washington,2,44.4,-72.5,50023.0
camarillo,CA,ventura,15,34.2,-119.1,6111.0
camden,ME,knox,14,44.2,-69.1,23013.0
cameron,TX,milam,126,30.8,-97.0,48331.0
camp hill,PA,cumberland,6,40.2,-76.9,42041.0
campbell hall,NY,orange,6,41.4,-74.3,36071.0
canal winchester,OH,franklin,4,39.8,-82.8,39049.0
canandaigua,NY,ontario,16,42.8,-77.3,36069.0
canton,TX,van zandt,7,32.5,-95.9,48467.0
canyon,TX,randall,2,34.9,-101.9,48381.0
canyon lake,TX,comal,4,29.9,-98.3,48091.0
capac,MI,st. clair,2,43.0,-82.9,26147.0
cape coral,FL,lee,7,26.6,-81.9,12071.0
cape elizabeth,ME,cumberland,4,43.6,-70.2,23005.0
cape may,NJ,cape may,880,39.0,-74.9,34009.0
cape may court house,NJ,cape may,12,39.1,-74.8,34009.0
carbondale,IL,jackson,126,37.7,-89.2,17077.0
carmel,IN,hamilton,3,40.0,-86.2,18057.0
carnesville,GA,franklin,1,34.4,-83.3,13119.0
carroll,OH,fairfield,2,39.8,-82.7,39045.0
carrollton,TX,dallas,4,33.1,-96.9,48113.0
carrollton,TX,denton,4,33.1,-96.9,48121.0
carver,MN,carver,3,44.7,-93.7,27019.0
cary,NC,wake,1,35.8,-78.8,37183.0
catawissa,MO,franklin,6,38.4,-90.8,29071.0
catlett,VA,fauquier,4,38.6,-77.6,51061.0
cedar creek,TX,bastrop,10,30.1,-97.5,48021.0
cedar grove,WI,sheboygan,3,43.6,-87.9,55117.0
cedar island,NC,carteret,1,35.0,-76.2,37031.0
cedar park,TX,williamson,2,30.5,-97.8,48491.0
cedar rapids,IA,linn,16,42.0,-91.7,19113.0
center moriches,NY,suffolk,2,40.8,-72.8,36103.0
center point,TX,kerr,4,29.9,-99.0,48265.0
central point,OR,jackson,2,42.4,-122.9,41029.0
central valley,NY,orange,18,41.3,-74.1,36071.0
centralia,IL,marion,14,38.5,-89.2,17121.0
centreville,VA,fairfax,2,38.9,-77.3,51059.0
chandler,AZ,maricopa,8,33.3,-111.9,4013.0
chanute,KS,neosho,4,37.6,-95.5,20133.0
chapel hill,NC,orange,144,35.9,-79.0,37135.0
chapin,SC,lexington,2,34.1,-81.3,45063.0
charleston,SC,berkeley,120,32.8,-79.9,45015.0
charleston,SC,charleston,330,32.8,-79.9,45019.0
charlotte,NC,mecklenburg,742,35.2,-80.8,37119.0
charlotte,VT,chittenden,28,44.3,-73.2,50007.0
charlottesville,VA,albemarle,24,38.1,-78.4,51003.0
charlottesville,VA,charlottesville city,54,38.1,-78.4,51540.0
chassell,MI,houghton,1,47.0,-88.6,26061.0
chatsworth,GA,murray,1,34.7,-84.8,13213.0
chattanooga,TN,hamilton,49,35.0,-85.2,47065.0
cheney,KS,sedgwick,5,37.6,-97.8,20173.0
cheraw,SC,chesterfield,2,34.6,-79.9,45025.0
cherokee,OK,alfalfa,2,36.8,-98.4,40003.0
cherry hill,NJ,camden,6,39.9,-75.0,34007.0
chester,VA,chesterfield,1,37.3,-77.4,51041.0
chesterfield,VA,chesterfield,75,37.4,-77.6,51041.0
cheyenne,WY,laramie,8,41.1,-104.8,56021.0
chicago,IL,cook,580,41.9,-87.6,17031.0
chickasha,OK,grady,6,35.0,-98.0,40051.0
chillicothe,OH,ross,1,39.3,-83.0,39141.0
cincinnati,OH,clermont,27,39.1,-84.5,39025.0
cincinnati,OH,hamilton,999,39.1,-84.5,39061.0
claremont,CA,los angeles,2,34.1,-117.7,6037.0
claremore,OK,rogers,10,36.3,-95.6,40131.0
clarkesville,GA,habersham,3,34.7,-83.5,13137.0
clarklake,MI,jackson,1,42.1,-84.4,26075.0
clarksburg,PA,indiana,3,40.5,-79.4,42063.0
clarkson,NY,monroe,1,43.2,-77.9,36055.0
clarksville,TN,montgomery,12,36.5,-87.3,47125.0
clay,WV,clay,1,38.5,-81.0,54015.0
clayton,NC,johnston,3,35.6,-78.4,37101.0
clayton,NJ,gloucester,3,39.7,-75.1,34015.0
clayton,NY,jefferson,20,44.2,-76.1,36045.0
clearlake oaks,CA,lake,9,39.1,-122.7,6033.0
