Town,State/Province,County,Count,Latitude,Longitude,FIPS
block island,RI,washington,4,41.2,-71.6,44009.0
bloomdale,OH,wood,3,41.2,-83.6,39173.0
bloomfield,NE,knox,2,42.8,-97.7,31107.0
bloomfield,NJ,essex,40,40.8,-74.2,34013.0
bloomingdale,NJ,passaic,20,41.0,-74.3,34031.0
bloomington,IN,monroe,15,39.1,-86.5,18105.0
bloomsburg,PA,columbia,44,41.0,-76.4,42037.0
blountville,TN,sullivan,1,36.5,-82.3,47163.0
blue bell,PA,montgomery,4,40.2,-75.3,42091.0
blue grass,VA,highland,1,38.5,-79.6,51091.0
blue hill,ME,hancock,2,44.4,-68.6,23009.0
blue ridge,VA,botetourt,7,37.4,-79.8,51023.0
bluff city,KS,harper,4,37.1,-97.9,20077.0
bluffton,OH,allen,6,40.9,-83.9,39003.0
blythewood,SC,richland,5,34.2,-81.0,45079.0
boerne,TX,kendall,318,29.7,-98.7,48259.0
bogart,GA,oconee,2,33.9,-83.5,13219.0
bohemia,NY,suffolk,4,40.8,-73.2,36103.0
boise,ID,ada,135,43.6,-116.1,16001.0
bolingbrook,IL,will,2,41.7,-88.1,17197.0
bolivia,NC,brunswick,8,34.0,-78.2,37019.0
bonita springs,FL,lee,10,26.3,-81.7,12071.0
boone,IA,boone,1,42.0,-94.0,19015.0
boones mill,VA,franklin,14,37.1,-79.9,51067.0
boonville,MO,cooper,24,38.9,-92.9,29053.0
boulder,CO,boulder,12,40.0,-105.2,8013.0
boulder junction,WI,vilas,2,46.1,-89.7,55125.0
bowie,MD,prince georges,260,39.0,-76.8,
bowling green,KY,warren,40,36.9,-86.5,21227.0
bowling green,OH,wood,9,41.4,-83.7,39173.0
boyd,TX,wise,7,33.1,-97.6,48497.0
boyertown,PA,berks,13,40.3,-75.6,42011.0
boyne city,MI,charlevoix,3,45.2,-85.0,26029.0
boynton beach,FL,palm beach,24,26.5,-80.1,12099.0
bradenton,FL,manatee,464,27.5,-82.6,12081.0
bradford,NY,schuyler,1,42.4,-77.1,36097.0
brady,TX,mcculloch,16,31.1,-99.3,48307.0
brandon,MS,rankin,7,32.4,-90.1,28121.0
branford,CT,new haven,1,41.3,-72.8,9009.0
breaux bridge,LA,st. martin,3,30.3,-91.9,
bremen,ME,lincoln,10,44.0,-69.4,23015.0
brenham,TX,washington,27,30.2,-96.4,48477.0
brentwood,TN,williamson,8,36.0,-86.8,47187.0
brick,NJ,ocean,48,40.1,-74.1,34029.0
bridgeview,IL,cook,3,41.8,-87.8,17031.0
bridgeville,DE,sussex,10,38.7,-75.6,10005.0
bridgman,MI,berrien,100,42.0,-86.6,26021.0
brigantine,NJ,atlantic,32,39.4,-74.4,34001.0
brighton,CO,adams,4,39.9,-104.9,8001.0
brighton,CO,weld,4,39.9,-104.9,8123.0
brighton,MI,livingston,42,42.5,-83.8,26093.0
brighton,TN,tipton,6,35.5,-89.7,47167.0
brightwaters,NY,suffolk,1,40.7,-73.3,36103.0
brinkhaven,OH,knox,1,40.5,-82.2,39083.0
bristol,NH,grafton,9,43.6,-71.7,33009.0
bristow,OK,creek,4,35.8,-96.4,40037.0
brodhead,WI,green,1,42.6,-89.4,55045.0
broken arrow,OK,tulsa,250,36.0,-95.8,40143.0
broken arrow,OK,wagoner,250,36.0,-95.8,40145.0
broken bow,OK,mccurtain,30,34.1,-94.8,40089.0
bronx,NY,bronx,27,40.9,-73.8,36005.0
brookfield,WI,waukesha,1,43.0,-88.1,55133.0
brookings,OR,curry,4,42.1,-124.3,41015.0
brookings,SD,brookings,8,44.2,-96.8,46011.0
brooklet,GA,bulloch,40,32.4,-81.7,13031.0
brooklyn,MI,jackson,1,42.1,-84.2,26075.0
brooklyn,NY,kings,216,40.7,-73.9,36047.0
brookville,OH,montgomery,1,39.8,-84.4,39113.0
broomfield,CO,broomfield,6,39.9,-105.1,8014.0
broomfield,CO,jefferson,4,39.9,-105.1,8059.0
brown city,MI,sanilac,3,43.2,-83.1,26151.0
brownfield,ME,oxford,29,43.9,-70.9,23017.0
brownsburg,IN,hendricks,4,39.8,-86.4,18063.0
brownsville,TX,cameron,108,25.9,-97.5,48061.0
brownsville,VT,windsor,3,43.5,-72.5,50027.0
brownville,NY,jefferson,22,44.0,-76.0,36045.0
brownwood,TX,brown,21,31.7,-99.0,48049.0
bruneau,ID,owyhee,4,42.9,-115.9,16073.0
brunswick,GA,glynn,24,31.2,-81.6,13127.0
brunswick,ME,cumberland,5,43.9,-70.0,23005.0
brusly,LA,west. baton rouge,1,30.4,-91.2,
bryan,TX,brazos,56,30.6,-96.4,48041.0
bryant,IN,jay,5,40.6,-85.0,18075.0
bryson city,NC,swain,4,35.5,-83.4,37173.0
buchanan,VA,botetourt,2,37.5,-79.8,51023.0
buda,TX,hays,70,30.1,-97.8,48209.0
buena park,CA,orange,1,33.9,-118.0,6059.0
buffalo,NY,erie,1599,43.0,-78.8,36029.0
buffalo grove,IL,lake,2,42.2,-88.0,17097.0
buffalo junction,VA,mecklenburg,2,36.6,-78.6,51117.0
buford,GA,gwinnett,4,34.1,-83.9,13135.0
bulverde,TX,comal,2,29.7,-98.5,48091.0
bumpass,VA,louisa,1,37.9,-77.8,51109.0
buna,TX,jasper,3,30.4,-94.0,48241.0
bunn,NC,franklin,2,36.0,-78.3,37069.0
burbank,CA,los angeles,21,34.2,-118.3,6037.0
burbank,IL,cook,45,41.7,-87.7,17031.0
burgaw,NC,pender,4,34.6,-77.9,37141.0
burkburnett,TX,wichita,7,34.1,-98.6,48485.0
burke,VA,fairfax,6,38.8,-77.3,51059.0
burleson,TX,johnson,30,32.6,-97.2,48251.0
burlington,CT,hartford,12,41.8,-73.0,9003.0
burlington,KY,boone,8,39.0,-84.7,21015.0
burlington,VT,chittenden,14,44.5,-73.2,50007.0
burlington,WI,racine,1,42.7,-88.3,55101.0
burton,OH,geauga,1,41.5,-81.1,39055.0
burtonsville,MD,montgomery,2,39.1,-76.9,24031.0
burtrum,MN,todd,1,45.8,-94.6,27153.0
butler,MO,bates,12,38.1,-94.4,29013.0
butler,PA,butler,12,40.9,-79.9,42019.0
buxton,ND,traill,2,47.6,-97.0,38097.0
buzzards bay,MA,barnstable,6,41.8,-70.6,25001.0
byron,MI,shiawassee,1,42.8,-83.9,26155.0
byron center,MI,kent,6,42.8,-85.7,26081.0
cabot,AR,lonoke,2,35.0,-92.0,5085.0
cairo,WV,ritchie,1,39.2,-81.2,54085.0
caldwell,NJ,essex,35,40.9,-74.3,34013.0
caldwell,TX,burleson,7,30.6,-96.5,48051.0
caldwell,WV,greenbrier,3,37.8,-80.4,54025.0
calera,AL,shelby,2,33.2,-86.8,1117.0
calhoun,GA,gordon,1,34.5,-84.9,13129.0
callahan,CA,siskiyou,1,41.4,-122.8,6093.0
calumet city,IL,cook,1,41.6,-87.5,17031.0
calvin,OK,hughes,16,35.0,-96.2,40063.0
camano island,WA,island,2,48.2,-122.5,53029.0
camarillo,CA,ventura,6,34.2,-119.0,6111.0
cambria,CA,san luis obispo,8,35.6,-121.1,6079.0
cambridge,WI,dane,42,43.0,-89.0,55025.0
camden,MI,hillsdale,1,41.7,-84.6,26059.0
camden,OH,preble,6,39.6,-84.7,39135.0
camden,SC,kershaw,14,34.3,-80.6,45055.0
camdenton,MO,camden,24,38.0,-92.7,29029.0
cameron,NC,harnett,2,35.3,-79.3,37085.0
camillus,NY,onondaga,12,43.1,-76.3,36067.0
camp douglas,WI,juneau,4,43.9,-90.3,55057.0
camp hill,PA,cumberland,6,40.2,-76.9,42041.0
campbell,CA,santa clara,1,37.3,-121.9,6085.0
campobello,SC,spartanburg,46,35.1,-82.2,45083.0
canadian,TX,hemphill,8,35.9,-100.4,48211.0
canandaigua,NY,ontario,3,42.9,-77.3,36069.0
canton,GA,cherokee,10,34.2,-84.5,13057.0
canton,IL,fulton,200,40.6,-90.0,17057.0
canton,MI,wayne,12,42.3,-83.5,26163.0
canton,NC,haywood,1,35.6,-82.8,37087.0
canton,OH,stark,21,40.8,-81.4,39151.0
canton,TX,van zandt,1,32.5,-96.0,48467.0
cantonment,FL,escambia,4,30.7,-87.4,12033.0
canyon,TX,randall,2,35.0,-101.9,48381.0
canyon lake,TX,comal,40,29.9,-98.2,48091.0
capay,CA,yolo,2,38.7,-122.1,6113.0
cape charles,VA,northampton,81,37.3,-76.0,51131.0
cape coral,FL,lee,21,26.6,-82.0,12071.0
cape elizabeth,ME,cumberland,4,43.6,-70.2,23005.0
cape fair,MO,stone,4,36.7,-93.5,29209.0
cape girardeau,MO,cape girardeau,18,37.3,-89.5,29031.0
cape may,NJ,cape may,4032,38.9,-74.9,34009.0
cape may court house,NJ,cape may,36,39.1,-74.8,34009.0
cape may point,NJ,cape may,186,38.9,-75.0,34009.0
cape vincent,NY,jefferson,2,44.1,-76.3,36045.0
capitola,CA,santa cruz,1,37.0,-122.0,6087.0
cardington,OH,morrow,1,40.4,-82.8,39117.0
carlinville,IL,macoupin,4,39.2,-89.9,17117.0
carlisle,PA,cumberland,30,40.2,-77.2,42041.0
carlsbad,CA,san diego,60,33.1,-117.3,6073.0
carlton,MN,carlton,1,46.6,-92.4,27017.0
carmel,NY,putnam,28,41.4,-73.7,36079.0
caro,MI,tuscola,1,43.4,-83.4,26157.0
carol stream,IL,dupage,42,41.9,-88.1,17043.0
carriere,MS,pearl river,12,30.6,-89.7,28109.0
carrollton,TX,dallas,119,33.0,-96.9,48113.0
carrollton,TX,denton,119,33.0,-96.9,48121.0
carter lake,IA,pottawattamie,2,41.3,-95.9,19155.0
carthage,MO,jasper,42,37.2,-94.3,29097.0
carver,MN,carver,1,44.8,-93.6,27019.0
cary,NC,wake,11,35.8,-78.8,37183.0
cassville,MO,barry,2,36.8,-93.8,29009.0
castle rock,CO,douglas,4,39.5,-104.9,8035.0
catonsville,MD,baltimore,2,39.3,-76.7,24005.0
catoosa,OK,rogers,4,36.2,-95.7,40131.0
cave city,KY,barren,2,37.1,-86.0,21009.0
cazenovia,NY,madison,8,42.9,-75.9,36053.0
cedar bluffs,NE,saunders,25,41.4,-96.6,31155.0
cedar creek,TX,bastrop,26,30.1,-97.5,48021.0
cedar grove,WV,kanawha,3,38.2,-81.4,54039.0
cedar park,TX,williamson,8,30.5,-97.8,48491.0
cedar rapids,IA,linn,16,42.0,-91.7,19113.0
cedarburg,WI,ozaukee,12,43.3,-88.0,55089.0
cedarville,MI,mackinac,3,46.0,-84.3,26097.0
celina,OH,mercer,22,40.6,-84.5,39107.0
center barnstead,NH,belknap,4,43.4,-71.3,33001.0
center conway,NH,carroll,10,44.2,-71.0,33003.0
center line,MI,macomb,1,42.5,-83.0,26099.0
center valley,PA,lehigh,1,40.5,-75.4,42077.0
centertown,MO,cole,14,38.7,-92.4,29051.0
central point,OR,jackson,6,42.4,-122.9,41029.0
centreville,VA,fairfax,16,38.8,-77.4,51059.0
chambersburg,PA,franklin,144,39.9,-77.7,42055.0
champaign,IL,champaign,22,40.2,-88.3,17019.0
chandler,AZ,maricopa,14,33.3,-111.9,4013.0
chandler,TX,henderson,2,32.3,-95.5,48213.0
chanhassen,MN,carver,2,44.9,-93.6,27019.0
chapel hill,NC,orange,192,35.9,-79.2,37135.0
chapin,SC,lexington,4,34.2,-81.3,45063.0
charles city,IA,floyd,2,43.1,-92.8,19067.0
charles town,WV,jefferson,4,39.3,-77.9,54037.0
charleston,IL,coles,4,39.5,-88.2,17029.0
charleston,SC,berkeley,196,32.7,-80.0,45015.0
charleston,SC,charleston,539,32.7,-80.0,45019.0
charlestown,NH,sullivan,2,43.2,-72.4,33019.0
charlotte,MI,eaton,1,42.6,-84.8,26045.0
charlotte,NC,mecklenburg,182,35.2,-80.8,37119.0
