city,state,county,count
Hamilton,OH,BUTLER,1
Hammond,IN,LAKE,1
Hampden,MA,HAMPDEN,1
Hampton,MN,DAKOTA,0
Hancock,ME,HANCOCK,1
Hannibal,NY,OSWEGO,2
Hanover,MA,PLYMOUTH,1
Hanover,NH,GRAFTON,1
Harper,TX,GILLESPIE,1
Hartley,IA,OBRIEN,1
Harvard,IL,MCHENRY,1
Harwinton,CT,LITCHFIELD,1
Haverhill,MA,ESSEX,2
Haviland,OH,PAULDING,1
Hayward,CA,ALAMEDA,1
Hazard,KY,PERRY,1
Heber City,UT,WASATCH,1
Hendersonville,TN,SUMNER,1
Herman,MN,GRANT,1
Herndon,VA,FAIRFAX,1
Hesston,KS,HARVEY,1
Highland,MI,OAKLAND,3
Highland,WI,IOWA,2
Hightstown,NJ,MERCER,1
Hillsboro,ND,TRAILL,2
Hillsboro,OR,WASHINGTON,1
Hilton Head Island,SC,BEAUFORT,6
Hingham,MA,PLYMOUTH,4
Hinsdale,IL,DUPAGE,2
Hobart,IN,LAKE,2
Holland,MI,OTTAWA,1
Holt,MI,INGHAM,1
Homewood,IL,COOK,1
Hookstown,PA,BEAVER,1
Hopewell Junction,NY,DUTCHESS,2
Horsham,PA,MONTGOMERY,2
Houma,LA,TERREBONNE,2
Houston,TX,HARRIS,12
Howard Lake,MN,WRIGHT,1
Howe,OK,LE FLORE,1
Hubbard Lake,MI,ALPENA,1
Hudson,NC,CALDWELL,1
Hudson,NY,COLUMBIA,2
Hudson,WI,SAINT CROIX,3
Hugoton,KS,STEVENS,1
Hull,MA,PLYMOUTH,1
Humboldt,KS,ALLEN,1
Huntingdon,PA,HUNTINGDON,1
Huntington Park,CA,LOS ANGELES,1
Huntsville,AL,MADISON,1
Hutto,TX,WILLIAMSON,1
Hyde Park,NY,DUTCHESS,1
Illinois City,IL,ROCK ISLAND,1
Independence,IA,BUCHANAN,5
Indian Lake,NY,HAMILTON,4
Indian Wells,CA,RIVERSIDE,9
Indianapolis,IN,MARION,1
Inlet,NY,HAMILTON,1
Inverness,FL,CITRUS,1
Iowa,LA,CALCASIEU,1
Iowa City,IA,JOHNSON,4
Ipswich,MA,ESSEX,3
Iron Mountain,MI,DICKINSON,1
Irving,TX,DALLAS,1
Irwin,PA,WESTMORELAND,1
Itasca,IL,DUPAGE,1
Ivesdale,IL,CHAMPAIGN,1
Jackson,MI,JACKSON,3
Jacksonville,AL,CALHOUN,1
Jacksonville,FL,DUVAL,6
Jamestown,NY,CHAUTAUQUA,2
Jarrettsville,MD,HARFORD,2
Jasper,IN,DUBOIS,1
Jefferson,NC,ASHE,1
Jefferson City,MO,COLE,1
Jericho,VT,CHITTENDEN,1
Johns Island,SC,CHARLESTON,1
Johnsburg,NY,WARREN,6
Johnston,IA,POLK,1
Joliet,IL,WILL,1
Jonesboro,AR,CRAIGHEAD,2
Joplin,MO,JASPER,1
Jordan,NY,ONONDAGA,1
Joshua Tree,CA,SAN BERNARDINO,1
Kalkaska,MI,KALKASKA,1
Kalona,IA,WASHINGTON,2
Kansas City,KS,WYANDOTTE,1
Katy,TX,HARRIS,5
Kaysville,UT,DAVIS,5
Keene,NH,CHESHIRE,1
Keeseville,NY,CLINTON,1
Keller,TX,TARRANT,1
Kenansville,NC,DUPLIN,2
Kenly,NC,JOHNSTON,1
Kenosha,WI,KENOSHA,0
Kenton,OH,HARDIN,2
Kewaskum,WI,WASHINGTON,4
Killeen,TX,BELL,3
Kilmarnock,VA,LANCASTER,1
Kinderhook,NY,COLUMBIA,1
Kingsland,GA,CAMDEN,2
Kingston,OK,MARSHALL,1
Kittery,ME,YORK,1
Klamath Falls,OR,KLAMATH,1
Knoxville,MD,FREDERICK,1
Knoxville,TN,KNOX,1
Kokomo,IN,HOWARD,1
Kooskia,ID,IDAHO,1
Kunkletown,PA,MONROE,1
Kurten,TX,BRAZOS,1
La Farge,WI,VERNON,1
La Mesa,CA,SAN DIEGO,1
La Porte,TX,HARRIS,1
Lafayette,LA,LAFAYETTE,1
Lafayette Hill,PA,MONTGOMERY,2
Lake Elmo,MN,WASHINGTON,1
Lake George,NY,WARREN,2
Lake Lillian,MN,KANDIYOHI,1
Lake Park,MN,BECKER,1
Lake Station,IN,LAKE,1
Lake Villa,IL,LAKE,4
Lakeland,FL,POLK,2
Lakeland,MN,WASHINGTON,1
Lakeside,CA,SAN DIEGO,1
Lakeview,OH,LOGAN,1
Lakeville,OH,HOLMES,1
Lakewood,OH,CUYAHOGA,1
Lancaster,NY,ERIE,1
Lancaster,PA,LANCASTER,3
Lansdale,PA,MONTGOMERY,1
Lansdowne,PA,DELAWARE,1
Lansing,MI,INGHAM,2
Laona,WI,FOREST,1
Las Vegas,NV,CLARK,1
Laurel,DE,SUSSEX,1
