City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Aliso Viejo,CA,ORANGE,2015-02-05,33.6,-117.7,2015,2,5,Winter,4
laguna woods,CA,ORANGE,2015-02-05,33.6,-117.7,2015,2,5,Winter,2
sanford,FL,SEMINOLE,2015-02-08,28.8,-81.3,2015,2,8,Winter,1
Amado,AZ,SANTA CRUZ,2015-02-08,31.6,-111.1,2015,2,8,Winter,1
safety harbor,FL,PINELLAS,2015-02-08,28.0,-82.7,2015,2,8,Winter,1
Port Aransas,TX,NUECES,2015-02-09,27.9,-97.1,2015,2,9,Winter,1
Half Moon Bay,CA,SAN MATEO,2015-02-10,37.5,-122.4,2015,2,10,Winter,2
Houston,TX,HARRIS,2015-02-10,29.8,-95.4,2015,2,10,Winter,86
Houston,TX,FORT BEND,2015-02-10,29.8,-95.4,2015,2,10,Winter,2
Houston,TX,HARRIS,2015-02-11,29.8,-95.4,2015,2,11,Winter,43
Houston,TX,FORT BEND,2015-02-11,29.8,-95.4,2015,2,11,Winter,1
safety harbor,FL,PINELLAS,2015-02-11,28.0,-82.7,2015,2,11,Winter,1
Bryan,TX,BRAZOS,2015-02-12,30.6,-96.4,2015,2,12,Winter,8
Palm Bay,FL,BREVARD,2015-02-12,28.0,-80.6,2015,2,12,Winter,4
Saint Petersburg,FL,PINELLAS,2015-02-12,27.8,-82.6,2015,2,12,Winter,26
Mount Dora,FL,LAKE,2015-02-13,28.8,-81.6,2015,2,13,Winter,1
Houston,TX,HARRIS,2015-02-13,29.8,-95.4,2015,2,13,Winter,43
Orlando,FL,BREVARD,2015-02-13,28.5,-81.4,2015,2,13,Winter,3
Houston,TX,FORT BEND,2015-02-13,29.8,-95.4,2015,2,13,Winter,1
Orlando,FL,ORANGE,2015-02-13,28.5,-81.4,2015,2,13,Winter,23
Los Fresnos,TX,CAMERON,2015-02-14,26.1,-97.5,2015,2,14,Winter,6
Las Vegas,NV,CLARK,2015-02-14,36.1,-115.3,2015,2,14,Winter,26
Fort Lauderdale,FL,BROWARD,2015-02-15,26.1,-80.1,2015,2,15,Winter,34
Chandler,AZ,MARICOPA,2015-02-15,33.3,-111.9,2015,2,15,Winter,2
Fremont,CA,ALAMEDA,2015-02-15,37.5,-122.0,2015,2,15,Winter,1
Loxahatchee,FL,PALM BEACH,2015-02-15,26.8,-80.4,2015,2,15,Winter,6
Key Largo,FL,MONROE,2015-02-16,25.2,-80.4,2015,2,16,Winter,4
Palm Bay,FL,BREVARD,2015-02-16,28.0,-80.6,2015,2,16,Winter,4
corpus christi,TX,NUECES,2015-02-18,27.8,-97.4,2015,2,18,Winter,5
Houston,TX,FORT BEND,2015-02-20,29.8,-95.4,2015,2,20,Winter,1
Houston,TX,HARRIS,2015-02-20,29.8,-95.4,2015,2,20,Winter,43
New Orleans,LA,ORLEANS,2015-02-21,30.0,-90.1,2015,2,21,Winter,24
New Orleans,LA,JEFFERSON,2015-02-21,30.0,-90.1,2015,2,21,Winter,6
Townsend,GA,MCINTOSH,2015-02-22,31.6,-81.4,2015,2,22,Winter,7
Palm Bay,FL,BREVARD,2015-02-22,28.0,-80.6,2015,2,22,Winter,4
San Antonio,TX,COMAL,2015-02-22,29.5,-98.5,2015,2,22,Winter,3
San Antonio,TX,BEXAR,2015-02-22,29.5,-98.5,2015,2,22,Winter,32
Longwood,FL,SEMINOLE,2015-02-24,28.7,-81.3,2015,2,24,Winter,3
The Villages,FL,SUMTER,2015-03-01,28.9,-82.0,2015,3,1,Spring,2
Palm Bay,FL,BREVARD,2015-03-01,28.0,-80.6,2015,3,1,Spring,4
