city,state,county,count,FIPS,cleaned_county
Canton,OH,STARK,2,39151,STARK
Canton,TX,VAN ZANDT,2,48467,VAN ZANDT
Canyon Lake,TX,COMAL,1,48091,COMAL
Cape Charles,VA,NORTHAMPTON,2,51131,NORTHAMPTON
Cape Coral,FL,LEE,1,12071,LEE
Cape May,NJ,CAPE MAY,1,34009,CAPE MAY
Carbondale,IL,JACKSON,1,17077,JACKSON
Carlsbad,CA,SAN DIEGO,3,6073,SAN DIEGO
Carmel,IN,HAMILTON,1,18057,HAMILTON
Carol Stream,IL,DUPAGE,1,17043,DUPAGE
Carrollton,TX,DALLAS,2,48113,DALLAS
Carson City,MI,MONTCALM,1,26117,MONTCALM
Cary,IL,MCHENRY,3,17111,MCHENRY
Cary,NC,WAKE,6,37183,WAKE
Cashiers,NC,JACKSON,2,37099,JACKSON
Castle Rock,MN,DAKOTA,2,27037,DAKOTA
Catawba,VA,ROANOKE,1,51161,ROANOKE
Cathedral City,CA,RIVERSIDE,1,6065,RIVERSIDE
Cato,NY,CAYUGA,1,36011,CAYUGA
Catonsville,MD,BALTIMORE,4,24005,BALTIMORE
Caulfield,MO,HOWELL,4,29091,HOWELL
Cedar Falls,IA,BLACK HAWK,2,19013,BLACK HAWK
Cedar Grove,WI,SHEBOYGAN,1,55117,SHEBOYGAN
Cedar Hill,TN,ROBERTSON,1,47147,ROBERTSON
Cedar Rapids,IA,LINN,1,19113,LINN
Centreville,MD,QUEEN ANNES,2,,
Chadds Ford,PA,DELAWARE,2,42045,DELAWARE
Chagrin Falls,OH,CUYAHOGA,5,39035,CUYAHOGA
Chapel Hill,NC,ORANGE,3,37135,ORANGE
Charleston,SC,CHARLESTON,7,45019,CHARLESTON
Charlotte,MI,EATON,2,26045,EATON
Charlotte,NC,MECKLENBURG,5,37119,MECKLENBURG
Charlotte,VT,CHITTENDEN,1,50007,CHITTENDEN
Chatsworth,GA,MURRAY,1,13213,MURRAY
Chelsea,AL,SHELBY,0,1117,SHELBY
Chelsea,MI,WASHTENAW,1,26161,WASHTENAW
Chelsea,OK,ROGERS,1,40131,ROGERS
Cherryville,NC,GASTON,1,37071,GASTON
Chesapeake,VA,CHESAPEAKE CITY,11,51550,CHESAPEAKE CITY
Chester,NH,ROCKINGHAM,1,33015,ROCKINGHAM
Chester,VA,CHESTERFIELD,1,51041,CHESTERFIELD
Chester,WV,HANCOCK,1,54029,HANCOCK
Chester Springs,PA,CHESTER,1,42029,CHESTER
Chicago,IL,COOK,10,17031,COOK
Chico,TX,WISE,1,48497,WISE
China Spring,TX,MCLENNAN,1,48309,MCLENNAN
Choctaw,OK,OKLAHOMA,1,40109,OKLAHOMA
Chula Vista,CA,SAN DIEGO,8,6073,SAN DIEGO
Cibolo,TX,GUADALUPE,1,48187,GUADALUPE
Cincinnati,OH,HAMILTON,3,39061,HAMILTON
Claremont,NH,SULLIVAN,7,33019,SULLIVAN
Clarksville,MD,HOWARD,2,24027,HOWARD
Clawson,MI,OAKLAND,1,26125,OAKLAND
Clayton,NC,JOHNSTON,3,37101,JOHNSTON
Clearwater,FL,PINELLAS,3,12103,PINELLAS
Cleburne,TX,JOHNSON,1,48251,JOHNSON
Cleveland,TN,BRADLEY,1,47011,BRADLEY
Clinton,CT,MIDDLESEX,2,9007,MIDDLESEX
Clinton,IN,VERMILLION,1,18165,VERMILLION
Cochise,AZ,COCHISE,1,4003,COCHISE
Colgate,WI,WASHINGTON,1,55131,WASHINGTON
College Station,TX,BRAZOS,1,48041,BRAZOS
Cologne,MN,CARVER,1,27019,CARVER
Colorado Springs,CO,EL PASO,1,8041,EL PASO
Columbia,IL,MONROE,1,17133,MONROE
Columbia,SC,RICHLAND,0,45079,RICHLAND
Columbia,TN,MAURY,3,47119,MAURY
Columbus,OH,FRANKLIN,7,39049,FRANKLIN
Concord,NH,MERRIMACK,3,33013,MERRIMACK
Connellsville,PA,FAYETTE,2,42051,FAYETTE
Conway,AR,FAULKNER,1,5045,FAULKNER
Cooperstown,NY,OTSEGO,1,36077,OTSEGO
Coopersville,MI,OTTAWA,1,26139,OTTAWA
Coppell,TX,DALLAS,1,48113,DALLAS
Coral Gables,FL,MIAMI-DADE,1,12086,MIAMI-DADE
Corona,CA,RIVERSIDE,3,6065,RIVERSIDE
Coronado,CA,SAN DIEGO,1,6073,SAN DIEGO
Corpus Christi,TX,NUECES,7,48355,NUECES
Corvallis,OR,BENTON,2,41003,BENTON
Costa Mesa,CA,ORANGE,1,6059,ORANGE
Cottage Grove,MN,WASHINGTON,1,27163,WASHINGTON
Cottage Grove,WI,DANE,1,55025,DANE
Council Bluffs,IA,POTTAWATTAMIE,2,19155,POTTAWATTAMIE
Covington,LA,ST. TAMMANY,1,,
Creedmoor,NC,GRANVILLE,1,37077,GRANVILLE
Creighton,NE,KNOX,2,31107,KNOX
Crestwood,KY,OLDHAM,1,21185,OLDHAM
Crofton,MD,ANNE ARUNDEL,1,24003,ANNE ARUNDEL
Crosby,MN,CROW WING,2,27035,CROW WING
Cross Hill,SC,LAURENS,1,45059,LAURENS
Crowley,TX,TARRANT,1,48439,TARRANT
Crystal Lake,IL,MCHENRY,1,17111,MCHENRY
Culver City,CA,LOS ANGELES,1,6037,LOS ANGELES
Cumberland,WI,BARRON,1,55005,BARRON
Cut Off,LA,LAFOURCHE,4,,
Daleville,IN,DELAWARE,1,18035,DELAWARE
Dallas,PA,LUZERNE,1,42079,LUZERNE
Dallas,TX,DALLAS,8,48113,DALLAS
Danbury,WI,BURNETT,1,55013,BURNETT
Danville,KY,BOYLE,3,21021,BOYLE
Darien,CT,FAIRFIELD,2,9001,FAIRFIELD
Darrow,LA,ASCENSION,1,,
Dauphin Island,AL,MOBILE,1,1097,MOBILE
Davenport,IA,SCOTT,2,19163,SCOTT
Davidson,NC,MECKLENBURG,1,37119,MECKLENBURG
Davison,MI,GENESEE,2,26049,GENESEE
Dayton,OH,MONTGOMERY,1,39113,MONTGOMERY
Decatur,GA,DEKALB,1,13089,DEKALB
Decatur,IL,MACON,1,17115,MACON
Delphos,OH,ALLEN,1,39003,ALLEN
Delray Beach,FL,PALM BEACH,1,12099,PALM BEACH
Deltona,FL,VOLUSIA,3,12127,VOLUSIA
Dennis,MA,BARNSTABLE,1,25001,BARNSTABLE
Dennison,MN,GOODHUE,1,27049,GOODHUE
Derby,CT,NEW HAVEN,1,9009,NEW HAVEN
Derry,NH,ROCKINGHAM,1,33015,ROCKINGHAM
Des Moines,IA,POLK,2,19153,POLK
Des Plaines,IL,COOK,1,17031,COOK
Detroit,MI,WAYNE,1,26163,WAYNE
Dewey,OK,WASHINGTON,1,40147,WASHINGTON
Dickerson,MD,MONTGOMERY,1,24031,MONTGOMERY
Dickinson,TX,GALVESTON,1,48167,GALVESTON
Discovery Bay,CA,CONTRA COSTA,1,6013,CONTRA COSTA
Dodge Center,MN,DODGE,1,27039,DODGE
Douglas,MA,WORCESTER,1,25027,WORCESTER
Dover,DE,KENT,1,10001,KENT
Drexel Hill,PA,DELAWARE,1,42045,DELAWARE
Driftwood,TX,HAYS,1,48209,HAYS
Dripping Springs,TX,HAYS,1,48209,HAYS
Drumright,OK,CREEK,1,40037,CREEK
Dublin,TX,ERATH,2,48143,ERATH
Dubuque,IA,DUBUQUE,1,19061,DUBUQUE
Durant,OK,BRYAN,2,40013,BRYAN
