Town,State/Province,County,Count,Latitude,Longitude,FIPS,Count_Normalized
bennington,NE,douglas,1,41.4,-96.2,31055.0,0.0
bensalem,PA,bucks,5,40.1,-75.0,42017.0,4.8193351727129245e-05
benson,AZ,cochise,76,31.8,-110.4,4003.0,0.0009036253448836733
benton city,WA,benton,2,46.3,-119.5,53005.0,1.2048337931782311e-05
bentonville,AR,benton,58,36.3,-94.2,5007.0,0.0006867552621115917
berkeley,CA,alameda,80,37.9,-122.2,6001.0,0.0009518186966108026
berkley,MA,bristol,4,41.8,-71.1,25005.0,3.614501379534693e-05
berlin,CT,hartford,3,41.6,-72.7,9003.0,2.4096675863564622e-05
berlin,MD,worcester,9,38.3,-75.2,24047.0,9.638670345425849e-05
bernalillo,NM,sandoval,7,35.3,-106.6,35043.0,7.229002759069386e-05
bernard,IA,dubuque,10,42.3,-90.9,19061.0,0.0001084350413860408
bernardsville,NJ,somerset,1,40.7,-74.6,34035.0,0.0
bertram,TX,burnet,5,30.8,-98.1,48053.0,4.8193351727129245e-05
berwick,ME,york,1,43.3,-70.9,23031.0,0.0
berwyn,IL,cook,12,41.8,-87.8,17031.0,0.0001325317172496054
bessemer,AL,jefferson,14,33.4,-87.0,1073.0,0.00015662839311317005
bethel,OH,clermont,10,39.0,-84.1,39025.0,0.0001084350413860408
bethesda,MD,montgomery,280,39.0,-77.1,24031.0,0.0033614862829672645
bethlehem,PA,lehigh,2,40.6,-75.3,42077.0,1.2048337931782311e-05
bethlehem,PA,northampton,4,40.6,-75.3,42095.0,3.614501379534693e-05
bettendorf,IA,scott,42,41.5,-90.5,19163.0,0.0004939818552030747
beulah,MI,benzie,5,44.6,-86.1,26019.0,4.8193351727129245e-05
beverly,MA,essex,14,42.5,-70.9,25009.0,0.00015662839311317005
beverly hills,FL,citrus,14,28.9,-82.5,12017.0,0.00015662839311317005
big bend national park,TX,brewster,2,29.2,-103.6,48043.0,1.2048337931782311e-05
big lake,MN,sherburne,1,45.4,-93.7,27141.0,0.0
big prairie,OH,holmes,3,40.7,-82.1,39075.0,2.4096675863564622e-05
big rapids,MI,mecosta,5,43.7,-85.6,26107.0,4.8193351727129245e-05
big spring,TX,howard,4,32.2,-101.5,48227.0,3.614501379534693e-05
biggers,AR,randolph,17,36.4,-90.8,5121.0,0.00019277340690851698
billerica,MA,middlesex,1,42.6,-71.3,25017.0,0.0
billings,MT,yellowstone,45,45.8,-108.5,30111.0,0.0005301268689984216
biloxi,MS,harrison,45,30.4,-89.0,28047.0,0.0005301268689984216
binghamton,NY,broome,612,42.1,-75.9,36007.0,0.0073615344763189915
birmingham,AL,jefferson,988,33.3,-86.9,1073.0,0.01189170953866914
birmingham,AL,shelby,133,33.3,-86.9,1117.0,0.001590380606995265
bishop,CA,inyo,18,37.5,-118.4,6027.0,0.00020482174484029927
bishop,GA,oconee,3,33.8,-83.5,13219.0,2.4096675863564622e-05
bishopville,MD,worcester,190,38.4,-75.1,24047.0,0.002277135869106857
bismarck,ND,burleigh,8,46.7,-100.7,38015.0,8.433836552247617e-05
bivalve,MD,wicomico,25,38.3,-75.9,24045.0,0.00028916011036277545
bixby,OK,tulsa,57,35.9,-95.9,40143.0,0.0006747069241798094
black mountain,NC,buncombe,40,35.6,-82.3,37021.0,0.0004698851793395101
blacksburg,VA,montgomery,4,37.2,-80.4,51121.0,3.614501379534693e-05
blackstone,MA,worcester,4,42.0,-71.5,25027.0,3.614501379534693e-05
blairsville,GA,union,8,34.9,-84.1,13291.0,8.433836552247617e-05
blairsville,PA,indiana,4,40.4,-79.3,42063.0,3.614501379534693e-05
blanchard,OK,mcclain,16,35.2,-97.7,40087.0,0.00018072506897673466
blanco,TX,blanco,152,30.1,-98.3,48031.0,0.001819299027699129
blanket,TX,brown,5,31.8,-98.8,48049.0,4.8193351727129245e-05
block island,RI,washington,8,41.2,-71.6,44009.0,8.433836552247617e-05
bloomfield,NE,knox,2,42.8,-97.7,31107.0,1.2048337931782311e-05
bloomfield,NJ,essex,116,40.8,-74.2,34013.0,0.0013855588621549658
bloomfield hills,MI,oakland,14,42.6,-83.3,26125.0,0.00015662839311317005
bloomingdale,NJ,passaic,58,41.0,-74.3,34031.0,0.0006867552621115917
bloomingdale,NY,essex,11,44.4,-74.1,36031.0,0.0001204833793178231
bloomington,IL,mclean,64,40.5,-89.0,17113.0,0.0007590452897022856
bloomington,IN,monroe,57,39.2,-86.5,18105.0,0.0006747069241798094
