City,State/Province,County,Date,Latitude,Longitude,year,month,day,Count,season,AQI,Temp_Mean
San Diego,CA,sandiego,2021-01-15,32.8,-117.0,2021,1,15,20,Winter,80.0,70.078124875
Merritt Island,FL,brevard,2021-01-15,28.4,-80.7,2021,1,15,2,Winter,49.0,59.25
Boynton Beach,FL,palmbeach,2021-01-15,26.5,-80.1,2021,1,15,12,Winter,53.0,
Tampa,FL,hillsborough,2021-01-15,28.0,-82.5,2021,1,15,28,Winter,55.0,58.645833499999995
Coral Springs,FL,broward,2021-01-16,26.3,-80.3,2021,1,16,12,Winter,47.0,64.6266666
Houston,TX,harris,2021-01-17,29.5,-95.1,2021,1,17,86,Winter,130.0,52.9930555
Tucson,AZ,pima,2021-01-17,32.4,-111.0,2021,1,17,76,Winter,59.0,57.029166599999996
Houston,TX,fortbend,2021-01-17,29.5,-95.1,2021,1,17,2,Winter,,
League City,TX,galveston,2021-01-17,29.5,-95.0,2021,1,17,1,Winter,62.0,53.541667
Palm Beach Gardens,FL,palmbeach,2021-01-17,26.9,-80.1,2021,1,17,28,Winter,51.0,
Deerfield Beach,FL,broward,2021-01-17,26.3,-80.2,2021,1,17,2,Winter,50.0,59.533333400000004
Hollywood,FL,broward,2021-01-18,26.0,-80.2,2021,1,18,40,Winter,59.0,63.04333340000001
Lutz,FL,hillsborough,2021-01-18,28.1,-82.4,2021,1,18,2,Winter,60.0,57.791667
Saint Petersburg,FL,pinellas,2021-01-18,27.7,-82.7,2021,1,18,26,Winter,56.0,56.125
Houston,TX,fortbend,2021-01-18,29.7,-95.4,2021,1,18,1,Winter,,
Laguna Niguel,CA,orange,2021-01-18,33.5,-117.7,2021,1,18,2,Winter,58.0,62.854167
Panacea,FL,wakulla,2021-01-18,29.9,-84.4,2021,1,18,10,Winter,37.0,51.208333
Naples,FL,collier,2021-01-18,26.1,-81.8,2021,1,18,4,Winter,48.0,
Arroyo Grande,CA,sanluisobispo,2021-01-18,35.1,-120.6,2021,1,18,2,Winter,55.0,54.9729165
Houston,TX,harris,2021-01-18,29.7,-95.4,2021,1,18,43,Winter,75.0,56.07407416666667
Houston,TX,harris,2021-01-19,29.8,-95.4,2021,1,19,129,Winter,51.0,66.09722211111111
Houston,TX,fortbend,2021-01-19,29.8,-95.4,2021,1,19,3,Winter,,
Oviedo,FL,seminole,2021-01-19,28.7,-81.2,2021,1,19,4,Winter,48.0,54.375
Palm Coast,FL,flagler,2021-01-19,29.5,-81.2,2021,1,19,1,Winter,39.0,
Laguna Niguel,CA,orange,2021-01-19,33.5,-117.7,2021,1,19,2,Winter,48.0,61.38541675
Pearland,TX,brazoria,2021-01-19,29.6,-95.4,2021,1,19,3,Winter,41.0,66.020833
Apalachicola,FL,franklin,2021-01-19,29.7,-85.0,2021,1,19,1,Winter,,
Boynton Beach,FL,palmbeach,2021-01-19,26.5,-80.1,2021,1,19,6,Winter,53.0,
Crystal River,FL,citrus,2021-01-20,28.9,-82.6,2021,1,20,1,Winter,57.0,
West Palm Beach,FL,palmbeach,2021-01-20,26.7,-80.1,2021,1,20,24,Winter,54.0,
Englewood,FL,charlotte,2021-01-20,27.0,-82.4,2021,1,20,3,Winter,,
Jupiter,FL,palmbeach,2021-01-20,26.9,-80.2,2021,1,20,4,Winter,54.0,
Englewood,FL,sarasota,2021-01-20,27.0,-82.4,2021,1,20,3,Winter,54.0,57.916667
Merritt Island,FL,brevard,2021-01-20,28.4,-80.7,2021,1,20,2,Winter,60.0,61.833333
Bellaire,TX,harris,2021-01-20,29.7,-95.5,2021,1,20,1,Winter,75.0,60.61900866666667
Tybee Island,GA,chatham,2021-01-20,32.0,-80.8,2021,1,20,4,Winter,61.0,55.2625
La Mirada,CA,losangeles,2021-01-20,33.9,-118.0,2021,1,20,4,Winter,51.0,64.15384615384616
Albany,GA,dougherty,2021-01-20,31.5,-84.4,2021,1,20,4,Winter,80.0,53.920833
Hilton Head Island,SC,beaufort,2021-01-20,32.2,-80.7,2021,1,20,3,Winter,,
Lakeland,FL,polk,2021-01-20,28.0,-81.9,2021,1,20,4,Winter,55.0,59.666667
Lakeland,FL,polk,2021-01-21,28.0,-81.9,2021,1,21,4,Winter,60.0,58.541667
Panama City,FL,bay,2021-01-21,30.1,-85.6,2021,1,21,6,Winter,52.0,
Oviedo,FL,seminole,2021-01-21,28.7,-81.2,2021,1,21,2,Winter,53.0,61.666667
Houston,TX,fortbend,2021-01-21,29.8,-95.4,2021,1,21,1,Winter,,
Houston,TX,harris,2021-01-21,29.8,-95.4,2021,1,21,43,Winter,53.0,65.13194449999999
Crawfordville,FL,wakulla,2021-01-21,30.1,-84.2,2021,1,21,6,Winter,57.0,59.166667
Estero,FL,lee,2021-01-21,26.4,-81.8,2021,1,21,1,Winter,61.0,62.208333
Rockport,TX,aransas,2021-01-22,28.0,-97.0,2021,1,22,8,Winter,,
Houston,TX,harris,2021-01-22,29.6,-95.1,2021,1,22,86,Winter,46.0,64.5005031111111
Washington,TX,washington,2021-01-22,30.3,-96.2,2021,1,22,1,Winter,,
Naples,FL,collier,2021-01-22,26.1,-81.8,2021,1,22,8,Winter,54.0,
Clearwater,FL,pinellas,2021-01-22,28.0,-82.7,2021,1,22,3,Winter,46.0,64.125
Houston,TX,fortbend,2021-01-22,29.6,-95.1,2021,1,22,2,Winter,,
Oviedo,FL,seminole,2021-01-22,28.7,-81.2,2021,1,22,2,Winter,48.0,67.125
Stafford,TX,fortbend,2021-01-22,29.7,-95.6,2021,1,22,2,Winter,,
Fremont,CA,alameda,2021-01-23,37.6,-122.1,2021,1,23,1,Winter,55.0,
Palm Beach Gardens,FL,palmbeach,2021-01-23,26.9,-80.1,2021,1,23,14,Winter,39.0,
Hialeah,FL,miami-dade,2021-01-23,25.9,-80.3,2021,1,23,14,Winter,55.0,66.93125
Tampa,FL,hillsborough,2021-01-23,27.9,-82.5,2021,1,23,28,Winter,44.0,67.375
Tempe,AZ,maricopa,2021-01-23,33.4,-111.9,2021,1,23,40,Winter,143.0,57.083333
Kingsland,GA,camden,2021-01-23,30.8,-81.6,2021,1,23,1,Winter,,
Merritt Island,FL,brevard,2021-01-24,28.4,-80.7,2021,1,24,2,Winter,37.0,69.458333
Pompano Beach,FL,broward,2021-01-24,26.3,-80.2,2021,1,24,39,Winter,51.0,71.4108334
Katy,TX,fortbend,2021-01-24,29.8,-95.8,2021,1,24,2,Winter,,
Venice,FL,sarasota,2021-01-24,27.0,-82.3,2021,1,24,1,Winter,48.0,66.416667
League City,TX,galveston,2021-01-24,29.5,-95.0,2021,1,24,1,Winter,41.0,63.0
Katy,TX,harris,2021-01-24,29.8,-95.8,2021,1,24,2,Winter,48.0,67.95454538888889
Clearwater,FL,pinellas,2021-01-24,28.0,-82.7,2021,1,24,6,Winter,50.0,68.125
Mission,TX,hidalgo,2021-01-24,26.2,-98.3,2021,1,24,12,Winter,64.0,75.827381
Fairhope,AL,baldwin,2021-01-24,30.5,-87.9,2021,1,24,2,Winter,,
Dickinson,TX,galveston,2021-01-24,29.5,-95.1,2021,1,24,4,Winter,41.0,63.0
Port Saint Lucie,FL,saintlucie,2021-01-25,27.3,-80.4,2021,1,25,5,Winter,,
Pompano Beach,FL,broward,2021-01-25,26.2,-80.2,2021,1,25,78,Winter,51.0,72.86416679999999
Houston,TX,fortbend,2021-01-25,29.8,-95.4,2021,1,25,1,Winter,,
Houston,TX,harris,2021-01-25,29.8,-95.4,2021,1,25,43,Winter,56.0,71.34953711111112
Port O Connor,TX,calhoun,2021-01-25,28.4,-96.4,2021,1,25,2,Winter,,
Missouri City,TX,fortbend,2021-01-25,29.6,-95.6,2021,1,25,6,Winter,,
Tybee Island,GA,chatham,2021-01-25,32.0,-80.8,2021,1,25,2,Winter,44.0,64.56875
Humble,TX,harris,2021-01-25,30.0,-95.4,2021,1,25,16,Winter,56.0,71.34953711111112
Tampa,FL,hillsborough,2021-01-25,28.0,-82.5,2021,1,25,28,Winter,46.0,70.4375
Rockport,TX,aransas,2021-01-25,28.1,-97.0,2021,1,25,12,Winter,,
Hollywood,FL,broward,2021-01-25,26.0,-80.2,2021,1,25,40,Winter,51.0,72.86416679999999
Rosenberg,TX,fortbend,2021-01-26,29.5,-95.8,2021,1,26,1,Winter,,
Tampa,FL,hillsborough,2021-01-26,28.0,-82.5,2021,1,26,28,Winter,53.0,67.958333
Vero Beach,FL,indianriver,2021-01-26,27.7,-80.4,2021,1,26,5,Winter,36.0,
Marco Island,FL,collier,2021-01-26,25.9,-81.7,2021,1,26,2,Winter,39.0,
West Palm Beach,FL,palmbeach,2021-01-26,26.7,-80.1,2021,1,26,24,Winter,43.0,
Corpus Christi,TX,nueces,2021-01-26,27.8,-97.4,2021,1,26,10,Winter,55.0,69.55208325
Oviedo,FL,seminole,2021-01-26,28.7,-81.2,2021,1,26,2,Winter,57.0,69.833333
Kemah,TX,galveston,2021-01-26,29.5,-95.0,2021,1,26,3,Winter,44.0,65.0
Delray Beach,FL,palmbeach,2021-01-26,26.5,-80.1,2021,1,26,24,Winter,43.0,
Houston,TX,harris,2021-01-27,29.8,-95.5,2021,1,27,43,Winter,44.0,59.5049315
Boynton Beach,FL,palmbeach,2021-01-27,26.5,-80.1,2021,1,27,18,Winter,52.0,
Fulton,TX,aransas,2021-01-27,28.1,-97.0,2021,1,27,2,Winter,,
Inverness,FL,citrus,2021-01-27,28.8,-82.3,2021,1,27,1,Winter,52.0,
Houston,TX,fortbend,2021-01-27,29.8,-95.5,2021,1,27,1,Winter,,
Jacksonville Beach,FL,duval,2021-01-27,30.3,-81.4,2021,1,27,5,Winter,57.0,67.329167
Houston,TX,harris,2021-01-28,29.8,-95.6,2021,1,28,43,Winter,55.0,49.166666722222224
Humble,TX,harris,2021-01-28,30.0,-95.4,2021,1,28,16,Winter,55.0,49.166666722222224
Houston,TX,fortbend,2021-01-28,29.8,-95.6,2021,1,28,1,Winter,,
Clearwater,FL,pinellas,2021-01-29,28.0,-82.7,2021,1,29,12,Winter,40.0,53.75
Inverness,FL,citrus,2021-01-29,28.9,-82.3,2021,1,29,1,Winter,37.0,
Dickinson,TX,galveston,2021-01-29,29.5,-94.9,2021,1,29,6,Winter,41.0,55.541667
Homestead,FL,miami-dade,2021-01-30,25.4,-80.6,2021,1,30,12,Winter,45.0,64.92083299999999
Round Rock,TX,williamson,2021-01-30,30.6,-97.6,2021,1,30,4,Winter,,
Hollywood,FL,broward,2021-01-30,26.0,-80.3,2021,1,30,10,Winter,44.0,66.2616666
Fulton,TX,aransas,2021-01-30,28.1,-97.0,2021,1,30,2,Winter,,
Tampa,FL,hillsborough,2021-01-31,28.0,-82.5,2021,1,31,28,Winter,38.0,66.95833350000001
Tempe,AZ,maricopa,2021-01-31,33.4,-111.9,2021,1,31,36,Winter,161.0,55.916667
Bradenton,FL,manatee,2021-01-31,27.4,-82.5,2021,1,31,32,Winter,34.0,
Port Arthur,TX,jefferson,2021-01-31,29.7,-94.0,2021,1,31,16,Winter,36.0,60.312500166666666
Palm Beach Gardens,FL,palmbeach,2021-01-31,26.9,-80.1,2021,1,31,42,Winter,51.0,
Thousand Oaks,CA,ventura,2021-02-01,34.2,-118.9,2021,2,1,3,Winter,33.0,59.8125
Hollywood,FL,broward,2021-02-01,26.0,-80.2,2021,2,1,40,Winter,57.0,66.47083319999999
Webster,TX,harris,2021-02-01,29.5,-95.1,2021,2,1,4,Winter,48.0,52.5555555
Los Osos,CA,sanluisobispo,2021-02-01,35.3,-120.8,2021,2,1,4,Winter,42.0,52.17291666666667
Missouri City,TX,fortbend,2021-02-01,29.6,-95.6,2021,2,1,6,Winter,,
Fulton,TX,aransas,2021-02-01,28.1,-97.0,2021,2,1,2,Winter,,
Fort Lauderdale,FL,broward,2021-02-01,26.1,-80.3,2021,2,1,34,Winter,57.0,66.47083319999999
Rockport,TX,aransas,2021-02-01,28.0,-97.1,2021,2,1,4,Winter,,
Orlando,FL,brevard,2021-02-01,28.5,-81.4,2021,2,1,9,Winter,49.0,59.625
Orlando,FL,orange,2021-02-01,28.5,-81.4,2021,2,1,69,Winter,31.0,
Fort Lauderdale,FL,broward,2021-02-01,26.1,-80.4,2021,2,1,204,Winter,57.0,66.47083319999999
Houston,TX,harris,2021-02-02,29.8,-95.4,2021,2,2,43,Winter,56.0,53.22685188888889
Houston,TX,fortbend,2021-02-02,29.8,-95.4,2021,2,2,1,Winter,,
Kingwood,TX,harris,2021-02-02,30.1,-95.2,2021,2,2,2,Winter,56.0,53.22685188888889
League City,TX,galveston,2021-02-02,29.5,-95.0,2021,2,2,2,Winter,41.0,54.458333
Boca Raton,FL,palmbeach,2021-02-02,26.4,-80.2,2021,2,2,10,Winter,41.0,
Houston,TX,harris,2021-02-03,29.6,-95.1,2021,2,3,43,Winter,54.0,57.63789683333333
Houston,TX,fortbend,2021-02-03,29.6,-95.1,2021,2,3,1,Winter,,
Humble,TX,harris,2021-02-03,30.0,-95.4,2021,2,3,36,Winter,54.0,57.63789683333333
Crawfordville,FL,wakulla,2021-02-04,30.1,-84.2,2021,2,4,12,Winter,60.0,50.208333
Humble,TX,harris,2021-02-04,30.0,-95.4,2021,2,4,12,Winter,47.0,68.275463
Chandler,AZ,maricopa,2021-02-04,33.2,-111.9,2021,2,4,4,Winter,49.0,63.083333
Bradenton,FL,manatee,2021-02-05,27.5,-82.4,2021,2,5,16,Winter,41.0,
Brownsville,TX,cameron,2021-02-05,25.9,-97.5,2021,2,5,24,Winter,68.0,65.986111
Rockport,TX,aransas,2021-02-05,28.1,-97.0,2021,2,5,4,Winter,,
Boynton Beach,FL,palmbeach,2021-02-05,26.5,-80.1,2021,2,5,12,Winter,57.0,
Pompano Beach,FL,broward,2021-02-05,26.3,-80.2,2021,2,5,26,Winter,56.0,66.6516666
Boynton Beach,FL,palmbeach,2021-02-05,26.5,-80.2,2021,2,5,12,Winter,57.0,
Tempe,AZ,maricopa,2021-02-06,33.4,-111.9,2021,2,6,80,Winter,68.0,55.666667
Palm Beach Gardens,FL,palmbeach,2021-02-06,26.9,-80.1,2021,2,6,42,Winter,46.0,
West Palm Beach,FL,palmbeach,2021-02-06,26.7,-80.1,2021,2,6,24,Winter,46.0,
Port O Connor,TX,calhoun,2021-02-06,28.5,-96.4,2021,2,6,2,Winter,,
San Diego,CA,sandiego,2021-02-07,33.0,-117.1,2021,2,7,20,Winter,77.0,55.0625
Fort Lauderdale,FL,broward,2021-02-07,26.1,-80.4,2021,2,7,170,Winter,67.0,77.20666639999999
Chandler,AZ,maricopa,2021-02-07,33.3,-111.9,2021,2,7,2,Winter,72.0,56.666667
Fort Lauderdale,FL,broward,2021-02-07,26.1,-80.2,2021,2,7,68,Winter,67.0,77.20666639999999
Ocean Springs,MS,jackson,2021-02-07,30.4,-88.8,2021,2,7,10,Winter,19.0,51.895833
Mill Valley,CA,marin,2021-02-07,37.9,-122.5,2021,2,7,4,Winter,52.0,
Hollywood,FL,broward,2021-02-08,26.0,-80.2,2021,2,8,40,Winter,63.0,75.50250000000001
Albany,GA,dougherty,2021-02-08,31.5,-84.4,2021,2,8,12,Winter,46.0,50.583333
