City,State/Province,County,Count,Latitude,Longitude
brandon,MS,RANKIN,1,32.4,-90.0
brandon,WI,FOND DU LAC,5,43.7,-88.9
branford,CT,NEW HAVEN,1,41.3,-72.8
branson,MO,TANEY,6,36.7,-93.2
brant rock,MA,PLYMOUTH,1,42.1,-70.6
braselton,GA,JACKSON,1,34.2,-83.8
brattleboro,VT,WINDHAM,22,42.9,-72.6
brazoria,TX,BRAZORIA,3,28.9,-95.5
brea,CA,ORANGE,5,33.9,-117.9
breaux bridge,LA,SAINT MARTIN,12,30.3,-91.9
breezy point,NY,QUEENS,10,40.6,-73.9
bremen,ME,LINCOLN,10,44.0,-69.4
brenham,TX,WASHINGTON,9,30.2,-96.4
brentwood,NY,SUFFOLK,45,40.8,-73.2
brevard,NC,TRANSYLVANIA,10,35.2,-82.7
brewster,MA,BARNSTABLE,2,41.8,-70.1
brewster,NY,PUTNAM,3,41.4,-73.6
briarcliff manor,NY,WESTCHESTER,24,41.1,-73.9
brick,NJ,OCEAN,114,40.0,-74.1
bridge city,TX,ORANGE,2,30.0,-93.8
bridgeport,CT,FAIRFIELD,8,41.2,-73.2
bridgeview,IL,COOK,3,41.8,-87.8
bridgeville,DE,SUSSEX,1,38.7,-75.6
bridgewater,NJ,SOMERSET,2,40.6,-74.6
bridgton,ME,CUMBERLAND,1,44.1,-70.7
brigantine,NJ,ATLANTIC,8,39.4,-74.4
brigham city,UT,BOX ELDER,12,41.5,-112.1
brighton,CO,ADAMS,2,40.0,-104.8
brighton,CO,WELD,2,40.0,-104.8
brighton,MI,LIVINGSTON,12,42.5,-83.8
brighton,MO,POLK,1,37.4,-93.4
brightwaters,NY,SUFFOLK,1,40.7,-73.3
brimfield,IL,PEORIA,4,40.8,-89.8
brimfield,MA,HAMPDEN,82,42.1,-72.2
bristol,CT,HARTFORD,24,41.7,-72.9
bristol,ME,LINCOLN,2,44.0,-69.5
bristol,RI,BRISTOL,4,41.7,-71.3
bristow,VA,PRINCE WILLIAM,1,38.8,-77.6
broadview,IL,COOK,4,41.9,-87.9
broadview heights,OH,CUYAHOGA,3,41.3,-81.7
brockport,NY,MONROE,2,43.2,-77.9
broken arrow,OK,TULSA,198,36.1,-95.7
broken arrow,OK,WAGONER,198,36.1,-95.7
bronte,TX,COKE,12,31.9,-100.3
bronx,NY,BRONX,1539,40.8,-73.8
bronxville,NY,WESTCHESTER,2,40.9,-73.8
brookfield,CT,FAIRFIELD,9,41.5,-73.4
brookfield,IL,COOK,25,41.8,-87.9
brookfield,MA,WORCESTER,1,42.2,-72.1
brookfield,WI,WAUKESHA,17,43.0,-88.1
brookings,OR,CURRY,2,42.0,-124.3
brookings,SD,BROOKINGS,20,44.2,-96.8
brooklet,GA,BULLOCH,40,32.3,-81.5
brookline,MA,NORFOLK,1,42.3,-71.1
brooklyn,NY,KINGS,198,40.7,-74.0
brookshire,TX,WALLER,12,29.8,-96.0
brooksville,FL,HERNANDO,90,28.6,-82.4
brookville,OH,MONTGOMERY,2,39.9,-84.4
broomall,PA,DELAWARE,8,40.0,-75.3
broomfield,CO,BROOMFIELD,66,40.0,-105.0
broomfield,CO,JEFFERSON,44,40.0,-105.0
broussard,LA,LAFAYETTE,16,30.2,-92.0
brownfield,ME,OXFORD,36,43.9,-70.9
brownfield,TX,TERRY,10,33.2,-102.3
brownsburg,IN,HENDRICKS,1,39.8,-86.4
brownsville,PA,FAYETTE,2,40.0,-79.9
brownsville,TX,CAMERON,132,26.0,-97.5
brownsville,VT,WINDSOR,2,43.5,-72.5
brownville,NY,JEFFERSON,2,44.0,-76.0
bruceton mills,WV,PRESTON,5,39.7,-79.6
