City,State/Province,County,Date,Latitude,Longitude,year,month,day,Count,season
Port Saint Lucie,FL,SAINT LUCIE,2021-01-25,27.3,-80.4,2021,1,25,5,Winter
Pompano Beach,FL,BROWARD,2021-01-25,26.2,-80.2,2021,1,25,78,Winter
Houston,TX,FORT BEND,2021-01-25,29.8,-95.4,2021,1,25,1,Winter
Houston,TX,HARRIS,2021-01-25,29.8,-95.4,2021,1,25,43,Winter
Port O Connor,TX,CALHOUN,2021-01-25,28.4,-96.4,2021,1,25,2,Winter
Missouri City,TX,FORT BEND,2021-01-25,29.6,-95.6,2021,1,25,6,Winter
Tybee Island,GA,CHATHAM,2021-01-25,32.0,-80.8,2021,1,25,2,Winter
Humble,TX,HARRIS,2021-01-25,30.0,-95.4,2021,1,25,16,Winter
Tampa,FL,HILLSBOROUGH,2021-01-25,28.0,-82.5,2021,1,25,28,Winter
Rockport,TX,ARANSAS,2021-01-25,28.1,-97.0,2021,1,25,12,Winter
Hollywood,FL,BROWARD,2021-01-25,26.0,-80.2,2021,1,25,40,Winter
Rosenberg,TX,FORT BEND,2021-01-26,29.5,-95.8,2021,1,26,1,Winter
Tampa,FL,HILLSBOROUGH,2021-01-26,28.0,-82.5,2021,1,26,28,Winter
Vero Beach,FL,INDIAN RIVER,2021-01-26,27.7,-80.4,2021,1,26,5,Winter
Marco Island,FL,COLLIER,2021-01-26,25.9,-81.7,2021,1,26,2,Winter
West Palm Beach,FL,PALM BEACH,2021-01-26,26.7,-80.1,2021,1,26,24,Winter
Corpus Christi,TX,NUECES,2021-01-26,27.8,-97.4,2021,1,26,10,Winter
Oviedo,FL,SEMINOLE,2021-01-26,28.7,-81.2,2021,1,26,2,Winter
Kemah,TX,GALVESTON,2021-01-26,29.5,-95.0,2021,1,26,3,Winter
Delray Beach,FL,PALM BEACH,2021-01-26,26.5,-80.1,2021,1,26,24,Winter
Houston,TX,HARRIS,2021-01-27,29.8,-95.5,2021,1,27,43,Winter
Boynton Beach,FL,PALM BEACH,2021-01-27,26.5,-80.1,2021,1,27,18,Winter
Fulton,TX,ARANSAS,2021-01-27,28.1,-97.0,2021,1,27,2,Winter
Inverness,FL,CITRUS,2021-01-27,28.8,-82.3,2021,1,27,1,Winter
Houston,TX,FORT BEND,2021-01-27,29.8,-95.5,2021,1,27,1,Winter
Jacksonville Beach,FL,DUVAL,2021-01-27,30.3,-81.4,2021,1,27,5,Winter
Houston,TX,HARRIS,2021-01-28,29.8,-95.6,2021,1,28,43,Winter
Humble,TX,HARRIS,2021-01-28,30.0,-95.4,2021,1,28,16,Winter
Houston,TX,FORT BEND,2021-01-28,29.8,-95.6,2021,1,28,1,Winter
Clearwater,FL,PINELLAS,2021-01-29,28.0,-82.7,2021,1,29,12,Winter
Inverness,FL,CITRUS,2021-01-29,28.9,-82.3,2021,1,29,1,Winter
Dickinson,TX,GALVESTON,2021-01-29,29.5,-94.9,2021,1,29,6,Winter
Homestead,FL,MIAMI-DADE,2021-01-30,25.4,-80.6,2021,1,30,12,Winter
Round Rock,TX,WILLIAMSON,2021-01-30,30.6,-97.6,2021,1,30,4,Winter
Hollywood,FL,BROWARD,2021-01-30,26.0,-80.3,2021,1,30,10,Winter
Fulton,TX,ARANSAS,2021-01-30,28.1,-97.0,2021,1,30,2,Winter
Tampa,FL,HILLSBOROUGH,2021-01-31,28.0,-82.5,2021,1,31,28,Winter
Tempe,AZ,MARICOPA,2021-01-31,33.4,-111.9,2021,1,31,36,Winter
Bradenton,FL,MANATEE,2021-01-31,27.4,-82.5,2021,1,31,32,Winter
Port Arthur,TX,JEFFERSON,2021-01-31,29.7,-94.0,2021,1,31,16,Winter
Palm Beach Gardens,FL,PALM BEACH,2021-01-31,26.9,-80.1,2021,1,31,42,Winter
Thousand Oaks,CA,VENTURA,2021-02-01,34.2,-118.9,2021,2,1,3,Winter
Hollywood,FL,BROWARD,2021-02-01,26.0,-80.2,2021,2,1,40,Winter
Webster,TX,HARRIS,2021-02-01,29.5,-95.1,2021,2,1,4,Winter
Los Osos,CA,SAN LUIS OBISPO,2021-02-01,35.3,-120.8,2021,2,1,4,Winter
Missouri City,TX,FORT BEND,2021-02-01,29.6,-95.6,2021,2,1,6,Winter
Fulton,TX,ARANSAS,2021-02-01,28.1,-97.0,2021,2,1,2,Winter
